bounds,benchmark,engine,unit,main_median,after_median,change_percent,p,main_samples,after_samples,measurement,status
explicit,BenchmarkCompile/tiny,wago,ns/op,6692,6511,-2.7047220561864926,0.004329004329004329,6,6,reported,paired
explicit,BenchmarkCompile/tiny,wago,B/op,8047.5,8046.5,-0.012426219322769771,0.8181818181818182,6,6,reported,paired
explicit,BenchmarkCompile/tiny,wago,allocs/op,20,20,0,1,6,6,reported,paired
explicit,BenchmarkCompile/fib_iter,wago,ns/op,7966.5,7556.5,-5.14655118307914,0.13203463203463203,6,6,reported,paired
explicit,BenchmarkCompile/fib_iter,wago,B/op,10573.5,10066.5,-4.795006383884237,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/fib_iter,wago,allocs/op,23,23,0,1,6,6,reported,paired
explicit,BenchmarkCompile/fib_rec,wago,ns/op,8501,8005,-5.834607693212568,0.13203463203463203,6,6,reported,paired
explicit,BenchmarkCompile/fib_rec,wago,B/op,10648,9883,-7.184447783621339,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/fib_rec,wago,allocs/op,32,32,0,1,6,6,reported,paired
explicit,BenchmarkCompile/arith,wago,ns/op,9193,7563,-17.73088219297292,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/arith,wago,B/op,24848,10256,-58.725048293625235,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/arith,wago,allocs/op,22,22,0,1,6,6,reported,paired
explicit,BenchmarkCompile/float,wago,ns/op,9582.5,8101.5,-15.455256978867727,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/float,wago,B/op,25717.5,10950,-57.4219889180519,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/float,wago,allocs/op,27,27,0,1,6,6,reported,paired
explicit,BenchmarkCompile/memory,wago,ns/op,11291.5,10417.5,-7.740335650710717,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/memory,wago,B/op,11033,10076,-8.67397806580259,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/memory,wago,allocs/op,28,28,0,1,6,6,reported,paired
explicit,BenchmarkCompile/memory_tree,wago,ns/op,17209,14585,-15.247835434946833,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/memory_tree,wago,B/op,25840,14320,-44.582043343653254,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/memory_tree,wago,allocs/op,46,46,0,1,6,6,reported,paired
explicit,BenchmarkCompile/globals,wago,ns/op,8939,8259.5,-7.601521422977964,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/globals,wago,B/op,10432,9672,-7.285276073619629,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/globals,wago,allocs/op,31,31,0,1,6,6,reported,paired
explicit,BenchmarkCompile/dispatch,wago,ns/op,14897,14008.5,-5.964288111700345,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/dispatch,wago,B/op,24304,24288,-0.06583278472679366,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/dispatch,wago,allocs/op,40,40,0,1,6,6,reported,paired
explicit,BenchmarkCompile/branches,wago,ns/op,7568,7166,-5.311839323467227,0.025974025974025976,6,6,reported,paired
explicit,BenchmarkCompile/branches,wago,B/op,10632,9610.5,-9.60778781038375,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/branches,wago,allocs/op,20,20,0,1,6,6,reported,paired
explicit,BenchmarkCompile/many_funcs,wago,ns/op,322599.5,279622,-13.322246314702902,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/many_funcs,wago,B/op,68224,67968,-0.37523452157598447,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/many_funcs,wago,allocs/op,33,33,0,1,6,6,reported,paired
explicit,BenchmarkCompile/linked_list,wago,ns/op,12820,11394.5,-11.119344773790951,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/linked_list,wago,B/op,14200,12405.5,-12.637323943661972,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/linked_list,wago,allocs/op,33,33,0,1,6,6,reported,paired
explicit,BenchmarkCompile/mandelbrot,wago,ns/op,15575.5,14100.5,-9.47000096305095,0.004329004329004329,6,6,reported,paired
explicit,BenchmarkCompile/mandelbrot,wago,B/op,26371,18827,-28.6071821318873,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/mandelbrot,wago,allocs/op,39,39,0,1,6,6,reported,paired
explicit,BenchmarkCompile/sieve,wago,ns/op,14586.5,12469,-14.51684777019847,0.015151515151515152,6,6,reported,paired
explicit,BenchmarkCompile/sieve,wago,B/op,17628,14566,-17.37009303380985,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/sieve,wago,allocs/op,32,32,0,1,6,6,reported,paired
explicit,BenchmarkCompile/nbody,wago,ns/op,63837,53242,-16.59695787709322,0.025974025974025976,6,6,reported,paired
explicit,BenchmarkCompile/nbody,wago,B/op,62756.5,62529,-0.3625122497271205,0.17965367965367965,6,6,reported,paired
explicit,BenchmarkCompile/nbody,wago,allocs/op,64,64,0,1,6,6,reported,paired
explicit,BenchmarkCompile/spectralnorm,wago,ns/op,53520.5,44286.5,-17.253202044076566,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/spectralnorm,wago,B/op,61046.5,60400,-1.0590287731483405,0.04112554112554113,6,6,reported,paired
explicit,BenchmarkCompile/spectralnorm,wago,allocs/op,62,62,0,1,6,6,reported,paired
explicit,BenchmarkCompile/fannkuch,wago,ns/op,82382,67242,-18.377800975941348,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/fannkuch,wago,B/op,64075,63419,-1.023800234100658,0.025974025974025976,6,6,reported,paired
explicit,BenchmarkCompile/fannkuch,wago,allocs/op,63,63,0,1,6,6,reported,paired
explicit,BenchmarkCompile/matmul,wago,ns/op,47071.5,38455.5,-18.30406934132118,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/matmul,wago,B/op,60712,60032,-1.1200421662933224,0.04112554112554113,6,6,reported,paired
explicit,BenchmarkCompile/matmul,wago,allocs/op,59,59,0,1,6,6,reported,paired
explicit,BenchmarkCompile/quicksort,wago,ns/op,44717.5,36825.5,-17.64857158830435,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/quicksort,wago,B/op,28198,27495,-2.493084615930208,0.06277056277056277,6,6,reported,paired
explicit,BenchmarkCompile/quicksort,wago,allocs/op,67,67,0,1,6,6,reported,paired
explicit,BenchmarkCompile/crc32,wago,ns/op,26479,22188,-16.20529476188678,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/crc32,wago,B/op,26491.5,25991,-1.889285242436256,0.008658008658008658,6,6,reported,paired
explicit,BenchmarkCompile/crc32,wago,allocs/op,42,42,0,1,6,6,reported,paired
explicit,BenchmarkCompile/sha256,wago,ns/op,64685,51462.5,-20.441369714771586,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/sha256,wago,B/op,60550,60208,-0.5648224607762153,0.008658008658008658,6,6,reported,paired
explicit,BenchmarkCompile/sha256,wago,allocs/op,49,49,0,1,6,6,reported,paired
explicit,BenchmarkCompile/raytrace,wago,ns/op,170232,135415.5,-20.45238263076272,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/raytrace,wago,B/op,125630.5,125576,-0.04338118530133883,0.42424242424242425,6,6,reported,paired
explicit,BenchmarkCompile/raytrace,wago,allocs/op,89,89,0,1,6,6,reported,paired
explicit,BenchmarkCompile/regexmatch,wago,ns/op,38372281.5,30341002,-20.929898317357022,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/regexmatch,wago,B/op,1329109,1327140,-0.14814435836338902,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/regexmatch,wago,allocs/op,1944,1946,0.10288065843622185,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/wasm3,wago,ns/op,10839157,8901679,-17.874803363398094,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/wasm3,wago,B/op,419065,416448,-0.6244854616825557,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/wasm3,wago,allocs/op,969,971,0.20639834881321928,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/json-as,wago,ns/op,1013121,823738.5,-18.692979417068646,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/json-as,wago,B/op,133208,133752,0.4083838808480067,0.23160173160173161,6,6,reported,paired
explicit,BenchmarkCompile/json-as,wago,allocs/op,136,136,0,1,6,6,reported,paired
explicit,BenchmarkCompile/blake-as,wago,ns/op,260924.5,191863.5,-26.467809653750418,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake-as,wago,B/op,120189,119664,-0.4368120210668236,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake-as,wago,allocs/op,89,85,-4.49438202247191,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as,wago,ns/op,117747,94454.5,-19.781820343618094,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as,wago,B/op,119556,119360,-0.1639399110040518,0.006493506493506494,6,6,reported,paired
explicit,BenchmarkCompile/utf-as,wago,allocs/op,68,68,0,1,6,6,reported,paired
explicit,BenchmarkCompile/xjb-mulhi,wago,ns/op,16118,13108.5,-18.67167142325351,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/xjb-mulhi,wago,B/op,23628,12072,-48.908075165058406,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/xjb-mulhi,wago,allocs/op,23,23,0,1,6,6,reported,paired
explicit,BenchmarkCompile/swar-pack-parse,wago,ns/op,16868,13861.5,-17.823689826891155,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/swar-pack-parse,wago,B/op,23544,12024,-48.92966360856269,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/swar-pack-parse,wago,allocs/op,22,22,0,1,6,6,reported,paired
explicit,BenchmarkCompile/json-as-simd,wago,ns/op,1101333.5,919338,-16.52501263241334,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/json-as-simd,wago,B/op,136928,137600,0.49076887123160606,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/json-as-simd,wago,allocs/op,152,152,0,1,6,6,reported,paired
explicit,BenchmarkCompile/blake-as-simd,wago,ns/op,739368.5,587073,-20.598050904251398,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake-as-simd,wago,B/op,239168,239320,0.06355365266257351,0.015151515151515152,6,6,reported,paired
explicit,BenchmarkCompile/blake-as-simd,wago,allocs/op,108,107,-0.92592592592593,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as-simd,wago,ns/op,374121,303671.5,-18.8306724295081,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as-simd,wago,B/op,125632,125528,-0.08278145695364003,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as-simd,wago,allocs/op,106,104,-1.8867924528301883,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/coremark,wago,ns/op,486985,378791.5,-22.21700873743544,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/coremark,wago,B/op,242192,242176,-0.006606328863045796,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/coremark,wago,allocs/op,99,99,0,1,6,6,reported,paired
explicit,BenchmarkCompile/blake3,wago,ns/op,745872.5,578918,-22.38378543249684,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake3,wago,B/op,125264,125232,-0.025546046749269635,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake3,wago,allocs/op,101,101,0,1,6,6,reported,paired
explicit,BenchmarkCompile/qoi,wago,ns/op,147098.5,115855.5,-21.23950958031523,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/qoi,wago,B/op,63520,63488,-0.05037783375314575,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/qoi,wago,allocs/op,93,93,0,1,6,6,reported,paired
explicit,BenchmarkCompile/lz4,wago,ns/op,120122,93468,-22.189107740463864,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/lz4,wago,B/op,61368,61352,-0.026072220049533357,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/lz4,wago,allocs/op,61,61,0,1,6,6,reported,paired
explicit,BenchmarkCompile/zlib,wago,ns/op,791372.5,660349.5,-16.556425703445598,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/zlib,wago,B/op,264368,264352,-0.006052169702841503,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/zlib,wago,allocs/op,164,164,0,1,6,6,reported,paired
explicit,BenchmarkCompile/zstd,wago,ns/op,3140562,2546915,-18.902572214781944,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/zstd,wago,B/op,1009720,1009712,-0.0007922988551234411,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/zstd,wago,allocs/op,226,228,0.8849557522123908,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/lua,wago,ns/op,16660901,13816752,-17.07079947236947,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/lua,wago,B/op,724304,721064,-0.4473259846694222,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/lua,wago,allocs/op,749,749,0,1,6,6,reported,paired
explicit,BenchmarkCompile/sqlite3,wago,ns/op,63976412,52599084.5,-17.78362859736492,0.0021645021645021645,6,6,reported,paired
