bounds,benchmark,engine,unit,main_median,after_median,change_percent,p,main_samples,after_samples,measurement,status
explicit,BenchmarkCompile/tiny,wago,ns/op,6692,6511,-2.7047220561864926,0.004329004329004329,6,6,reported,paired
explicit,BenchmarkCompile/fib_iter,wago,ns/op,7966.5,7556.5,-5.14655118307914,0.13203463203463203,6,6,reported,paired
explicit,BenchmarkCompile/fib_rec,wago,ns/op,8501,8005,-5.834607693212568,0.13203463203463203,6,6,reported,paired
explicit,BenchmarkCompile/arith,wago,ns/op,9193,7563,-17.73088219297292,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/float,wago,ns/op,9582.5,8101.5,-15.455256978867727,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/memory,wago,ns/op,11291.5,10417.5,-7.740335650710717,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/memory_tree,wago,ns/op,17209,14585,-15.247835434946833,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/globals,wago,ns/op,8939,8259.5,-7.601521422977964,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/dispatch,wago,ns/op,14897,14008.5,-5.964288111700345,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/branches,wago,ns/op,7568,7166,-5.311839323467227,0.025974025974025976,6,6,reported,paired
explicit,BenchmarkCompile/many_funcs,wago,ns/op,322599.5,279622,-13.322246314702902,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/linked_list,wago,ns/op,12820,11394.5,-11.119344773790951,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/mandelbrot,wago,ns/op,15575.5,14100.5,-9.47000096305095,0.004329004329004329,6,6,reported,paired
explicit,BenchmarkCompile/sieve,wago,ns/op,14586.5,12469,-14.51684777019847,0.015151515151515152,6,6,reported,paired
explicit,BenchmarkCompile/nbody,wago,ns/op,63837,53242,-16.59695787709322,0.025974025974025976,6,6,reported,paired
explicit,BenchmarkCompile/spectralnorm,wago,ns/op,53520.5,44286.5,-17.253202044076566,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/fannkuch,wago,ns/op,82382,67242,-18.377800975941348,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/matmul,wago,ns/op,47071.5,38455.5,-18.30406934132118,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/quicksort,wago,ns/op,44717.5,36825.5,-17.64857158830435,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/crc32,wago,ns/op,26479,22188,-16.20529476188678,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/sha256,wago,ns/op,64685,51462.5,-20.441369714771586,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/raytrace,wago,ns/op,170232,135415.5,-20.45238263076272,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/regexmatch,wago,ns/op,38372281.5,30341002,-20.929898317357022,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/wasm3,wago,ns/op,10839157,8901679,-17.874803363398094,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/json-as,wago,ns/op,1013121,823738.5,-18.692979417068646,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake-as,wago,ns/op,260924.5,191863.5,-26.467809653750418,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as,wago,ns/op,117747,94454.5,-19.781820343618094,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/xjb-mulhi,wago,ns/op,16118,13108.5,-18.67167142325351,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/swar-pack-parse,wago,ns/op,16868,13861.5,-17.823689826891155,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/json-as-simd,wago,ns/op,1101333.5,919338,-16.52501263241334,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake-as-simd,wago,ns/op,739368.5,587073,-20.598050904251398,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as-simd,wago,ns/op,374121,303671.5,-18.8306724295081,0.0021645021645021645,6,6,reported,paired
