bounds,benchmark,unit,main_median,after_median,change_percent,p,main_samples,after_samples,measurement
signals,BenchmarkCompileFullWorkers/esbuild/p4,ns/op,380700465,171459008.5,-54.962227718844524,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFullWorkers/esbuild/p4,code-B,20149723,20149723,0,1,12,12,reported
signals,BenchmarkCompileFullWorkers/esbuild/p4,B/op,181496922,182018977,0.28763848678381443,0.629725504001988,12,12,reported
signals,BenchmarkCompileFullWorkers/esbuild/p4,allocs/op,27817.5,28027.5,0.7549204637368634,0.4775752582321434,12,12,reported
signals,BenchmarkCompileFullWorkers/esbuild/p8,ns/op,334798629.5,129050976.5,-61.45415030738649,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFullWorkers/esbuild/p8,code-B,20149723,20149723,0,1,12,12,reported
signals,BenchmarkCompileFullWorkers/esbuild/p8,B/op,191606038,192060655,0.23726653123530284,0.40951039806875045,12,12,reported
signals,BenchmarkCompileFullWorkers/esbuild/p8,allocs/op,34221.5,34519.5,0.8707975980012606,0.4428331797425888,12,12,reported
signals,BenchmarkPluginExec/wasm3,ns/op,23017639.5,23370330.5,1.5322639838893926,0.9323005033733262,12,12,reported
signals,BenchmarkPluginExec/wasm3,B/op,0,0,0,1,12,12,unmeasured: allocation timer stopped
signals,BenchmarkPluginExec/wasm3,allocs/op,0,0,0,1,12,12,unmeasured: allocation timer stopped
signals,BenchmarkCompileFull/memory_tree,ns/op,34252,28878.5,-15.688134999416093,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFull/memory_tree,code-B,479,479,0,1,12,12,reported
signals,BenchmarkCompileFull/memory_tree,B/op,35281,23841,-32.425384768005436,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFull/memory_tree,allocs/op,111,113,1.8018018018018056,7.39602301050679e-7,12,12,reported
signals,BenchmarkExecParallel/process/isa_f32.trunc,ns/op,42688.5,42875.5,0.43805708797450826,0.15997301930805768,12,12,reported
signals,BenchmarkExecParallel/process/isa_f32.trunc,B/op,1,1,0,1,12,12,reported
signals,BenchmarkExecParallel/process/isa_f32.trunc,allocs/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/process/isa_f32.floor,ns/op,41896,41740.5,-0.3711571510406686,0.6407596307313631,12,12,reported
signals,BenchmarkExecParallel/process/isa_f32.floor,B/op,1,1,0,0.6763648251062438,12,12,reported
signals,BenchmarkExecParallel/process/isa_f32.floor,allocs/op,0,0,0,1,12,12,reported
signals,BenchmarkCompileFullWorkers/tiny/p4,ns/op,32901.5,32820,-0.24770907101500095,0.6706595329559389,12,12,reported
signals,BenchmarkCompileFullWorkers/tiny/p4,code-B,96,96,0,1,12,12,reported
signals,BenchmarkCompileFullWorkers/tiny/p4,B/op,26709.5,26823,0.42494243621182815,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFullWorkers/tiny/p4,allocs/op,100,102,2.0000000000000018,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFull/xjb-mulhi,ns/op,33440.5,27268,-18.458157025164102,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFull/xjb-mulhi,code-B,355,355,0,1,12,12,reported
signals,BenchmarkCompileFull/xjb-mulhi,B/op,33217,21777,-34.44019628503477,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFull/xjb-mulhi,allocs/op,93,95,2.1505376344086002,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFullWorkers/tiny/p2,ns/op,34491,34222,-0.77991360064944,0.1135023275284414,12,12,reported
signals,BenchmarkCompileFullWorkers/tiny/p2,code-B,96,96,0,1,12,12,reported
signals,BenchmarkCompileFullWorkers/tiny/p2,B/op,26709,26822.5,0.42495039125387546,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFullWorkers/tiny/p2,allocs/op,100,102,2.0000000000000018,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFullWorkers/tiny/p8,ns/op,35706,34001.5,-4.773707500140034,0.05965706120504882,12,12,reported
signals,BenchmarkCompileFullWorkers/tiny/p8,code-B,96,96,0,1,12,12,reported
signals,BenchmarkCompileFullWorkers/tiny/p8,B/op,26708,26821,0.42309420398383146,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFullWorkers/tiny/p8,allocs/op,100,102,2.0000000000000018,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFull/swar-pack-parse,ns/op,34217.5,28806,-15.815006940892818,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFull/swar-pack-parse,code-B,430,430,0,1,12,12,reported
signals,BenchmarkCompileFull/swar-pack-parse,B/op,33337,21904,-34.29522752497225,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFull/swar-pack-parse,allocs/op,91,93,2.19780219780219,7.39602301050679e-7,12,12,reported
signals,BenchmarkExecParallel/process/sha256.hashN,ns/op,34784.5,34787,0.007187109200934572,0.8428359902313328,12,12,reported
signals,BenchmarkExecParallel/process/sha256.hashN,B/op,0.5,0,-100,0.6801722977520528,12,12,reported
signals,BenchmarkExecParallel/process/sha256.hashN,allocs/op,0,0,0,1,12,12,reported
signals,BenchmarkCompileFull/mandelbrot,ns/op,30955.5,25875,-16.41226922517808,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFull/mandelbrot,code-B,504,504,0,1,12,12,reported
signals,BenchmarkCompileFull/mandelbrot,B/op,34769,26649,-23.354137306221055,7.39602301050679e-7,12,12,reported
signals,BenchmarkCompileFull/mandelbrot,allocs/op,94,96,2.127659574468077,7.39602301050679e-7,12,12,reported
signals,BenchmarkPluginExec/ruby,ns/op,20052780.5,19854829,-0.9871523801898707,0.8428359902313328,12,12,reported
signals,BenchmarkPluginExec/ruby,B/op,0,0,0,1,12,12,unmeasured: allocation timer stopped
signals,BenchmarkPluginExec/ruby,allocs/op,0,0,0,1,12,12,unmeasured: allocation timer stopped
signals,BenchmarkCompileFull/dispatch,ns/op,29247.5,28086,-3.9712795965467174,0.0014326096571351653,12,12,reported
signals,BenchmarkCompileFull/dispatch,code-B,475,475,0,1,12,12,reported
signals,BenchmarkCompileFull/dispatch,B/op,35625,35721,0.26947368421053053,7.39602301050679e-7,12,12,reported
