bounds,group,main_median_rss_KiB,after_median_rss_KiB,change_percent,p,main_max_rss_KiB,after_max_rss_KiB,samples_each
explicit,BenchmarkPluginInstantiate,216448,223016,3.0344470727380335,0.13203463203463203,229396,228188,6
explicit,BenchmarkPluginExec,246628,245250,-0.5587362343286273,0.13203463203463203,249684,247888,6
explicit,BenchmarkExec,58422,57570,-1.4583547293827714,0.8181818181818182,58888,58868,6
explicit,BenchmarkExecParallel,99644,99598,-0.04616434506844458,0.5887445887445888,101772,99924,6
explicit,BenchmarkCompileFull,171104,157778,-7.788245745277722,0.06493506493506493,172520,165956,6
explicit,BenchmarkCompileCompact,1701900,1887132,10.883835713026624,0.0021645021645021645,1738476,2069600,6
explicit,BenchmarkCompile_wago,58366,77568,32.89929068293185,0.09307359307359307,92344,99972,6
explicit,BenchmarkCompile_wazero,19298,18448,-4.404601513110162,0.3939393939393939,19528,19696,6
explicit,BenchmarkInstantiate_wago,20714,20924,1.0138070869943006,0.6991341991341992,22460,23780,6
explicit,BenchmarkInstantiate_wazero,19176,19168,-0.04171881518565401,0.7835497835497836,20652,20908,6
explicit,BenchmarkExecFibLoop_wago,16530,16698,1.0163339382940118,0.24025974025974026,16664,16732,6
explicit,BenchmarkExecFibLoop_wazero,18904,19236,1.7562420651713984,0.2878787878787879,19316,19268,6
explicit,BenchmarkExecFibRec_wago,16476,16586,0.6676377761592578,0.3939393939393939,18596,16636,6
explicit,BenchmarkExecFibRec_wazero,14510,14432,-0.5375603032391485,1,16664,16480,6
explicit,BenchmarkExecCallOverhead_wago,16732,16734,0.011953143676790567,0.48484848484848486,18764,18796,6
explicit,BenchmarkExecCallOverhead_wazero,19034,19402,1.9333823683933993,0.004329004329004329,19160,21212,6
explicit,BenchmarkExecHostRoundtrip_wago,22394,22806,1.8397785121014643,0.06060606060606061,22812,24620,6
explicit,BenchmarkExecHostRoundtrip_wazero,19262,19278,0.08306510227391595,0.8181818181818182,21184,19380,6
explicit,BenchmarkExecGlobalGet_wago,18036,18270,1.2974051896207595,0.22294372294372294,20088,20260,6
explicit,BenchmarkExecGlobalSet_wago,17886,18406,2.907301800290729,0.09307359307359307,20020,20152,6
explicit,BenchmarkExecLocalGet_wago,17982,18296,1.7461906350795253,0.06493506493506493,20096,20200,6
explicit,BenchmarkExecMemoryLoad_wago,17986,18384,2.212832202824422,0.10173160173160173,20004,18552,6
explicit,BenchmarkWazeroCompile,702562,700490,-0.29492059063825904,0.3939393939393939,705664,703944,6
explicit,BenchmarkWazeroInstantiate,107878,99714,-7.5678080794972065,0.24025974025974026,157140,126140,6
explicit,BenchmarkWazeroExec,79794,79282,-0.6416522545554804,0.13203463203463203,80244,79664,6
explicit,BenchmarkJsonAsSerialize_wago,37404,37566,0.43310875842155205,0.17965367965367965,39368,39412,6
explicit,BenchmarkJsonAsDeserialize_wago,37180,37460,0.7530930607853703,0.17965367965367965,39384,39388,6
explicit,BenchmarkJsonAsSerialize_wazero,23226,23354,0.5511065185567876,0.3939393939393939,23532,25480,6
explicit,BenchmarkJsonAsDeserialize_wazero,22998,23060,0.2695886598834685,0.9090909090909091,24028,23768,6
explicit,BenchmarkCompileCommuteSelfUpdate,139380,139056,-0.23245802841154184,0.48484848484848486,140316,139888,6
explicit,BenchmarkExecCommuteSelfUpdate,54100,53942,-0.2920517560073943,0.48484848484848486,55840,56036,6
explicit,BenchmarkKernels,20020,20304,1.4185814185814216,0.24025974025974026,22192,22392,6
explicit,BenchmarkSqliBenign,13114,13042,-0.5490315693152392,0.5887445887445888,14960,13260,6
explicit,BenchmarkDecode,106068,103524,-2.3984613644077335,0.3939393939393939,110720,113752,6
explicit,BenchmarkValidate,89200,88020,-1.3228699551569467,0.9372294372294372,91396,91116,6
explicit,BenchmarkValidateWorkers,91464,92428,1.0539665879471638,0.5887445887445888,92916,93284,6
explicit,BenchmarkCompile,1613052,1792914,11.150415485675591,0.0021645021645021645,1634340,1843624,6
explicit,BenchmarkCompileWorkers,796562,868950,9.087553762293465,0.0021645021645021645,808752,893344,6
explicit,BenchmarkCompileFullOptimizationAblation,12340,12956,4.991896272285246,0.0021645021645021645,12448,15168,6
explicit,BenchmarkCompileFullWorkers,231834,231592,-0.1043850341192365,0.9372294372294372,234500,235196,6
explicit,BenchmarkCompileMultiModuleThroughput,202972,207206,2.086002010129473,1,212868,208764,6
explicit,BenchmarkInstantiate,82096,81276,-0.9988306373026723,0.8181818181818182,88292,95276,6
signals,BenchmarkPluginInstantiate,213142,217200,1.9038950558782464,0.30952380952380953,216540,219192,6
signals,BenchmarkPluginExec,240360,238160,-0.9152937260775484,0.015151515151515152,242744,239708,6
signals,BenchmarkExec,54656,54548,-0.1975995316159218,0.48484848484848486,55392,54876,6
signals,BenchmarkExecParallel,85384,85528,0.16864986414315553,1,85824,85692,6
signals,BenchmarkCompileFull,143604,151696,5.634940530904431,0.06493506493506493,148328,153508,6
signals,BenchmarkCompileCompact,1769026,1862722,5.296473878846331,0.04112554112554113,1893640,1924688,6
signals,BenchmarkCompile_wago,58722,58444,-0.47341711794557373,0.8181818181818182,94724,96328,6
signals,BenchmarkCompile_wazero,18462,19224,4.127396815079631,0.30952380952380953,19088,22484,6
signals,BenchmarkInstantiate_wago,20660,20112,-2.6524685382381397,0.025974025974025976,21092,20380,6
signals,BenchmarkInstantiate_wazero,19234,19062,-0.8942497660393012,0.48484848484848486,19340,21136,6
signals,BenchmarkExecFibLoop_wago,16490,16236,-1.540327471194658,0.09307359307359307,16684,16428,6
signals,BenchmarkExecFibLoop_wazero,18854,18662,-1.0183515434390555,0.04112554112554113,21180,18856,6
signals,BenchmarkExecFibRec_wago,16342,16208,-0.8199730755109491,0.17965367965367965,18316,18180,6
signals,BenchmarkExecFibRec_wazero,14516,15040,3.6098098649765875,0.8181818181818182,16460,16560,6
signals,BenchmarkExecCallOverhead_wago,16538,16260,-1.6809771435481902,0.29004329004329005,16564,18196,6
signals,BenchmarkExecCallOverhead_wazero,18740,18862,0.6510138740661642,0.6991341991341992,21052,20740,6
signals,BenchmarkExecHostRoundtrip_wago,22450,22466,0.07126948775055819,0.8528138528138528,22716,24596,6
signals,BenchmarkExecHostRoundtrip_wazero,19112,18970,-0.7429886982000866,0.9372294372294372,20748,20928,6
signals,BenchmarkExecGlobalGet_wago,17944,17840,-0.5795809184128364,0.7337662337662337,18160,19796,6
signals,BenchmarkExecGlobalSet_wago,18052,17574,-2.6479060491912287,0.5887445887445888,19844,20144,6
signals,BenchmarkExecLocalGet_wago,18072,17802,-1.4940239043824688,0.22294372294372294,19788,18116,6
signals,BenchmarkExecMemoryLoad_wago,18082,17702,-2.1015374405486065,0.025974025974025976,20040,17920,6
signals,BenchmarkWazeroCompile,684886,690886,0.8760582053071619,0.9372294372294372,699444,701608,6
signals,BenchmarkWazeroInstantiate,138506,115120,-16.88446709889825,0.24025974025974026,219340,159900,6
signals,BenchmarkWazeroExec,79370,78932,-0.5518457855613002,0.3939393939393939,79700,79600,6
signals,BenchmarkMemSumBounds,18210,17936,-1.504667764964307,0.13203463203463203,20116,18360,6
signals,BenchmarkJsonAsSerialize_wago,38278,37210,-2.790114426041068,0.5887445887445888,39384,43140,6
signals,BenchmarkJsonAsDeserialize_wago,37160,36894,-0.7158234660925689,0.13203463203463203,43524,39124,6
signals,BenchmarkJsonAsSerialize_wazero,22788,23214,1.8694049499736742,0.17965367965367965,23680,24464,6
signals,BenchmarkJsonAsDeserialize_wazero,23240,23338,0.42168674698794817,0.3939393939393939,23624,23684,6
signals,BenchmarkCompileCommuteSelfUpdate,133394,129128,-3.1980448895752467,0.0021645021645021645,134772,131760,6
signals,BenchmarkExecCommuteSelfUpdate,52974,51892,-2.0425114206969464,0.06493506493506493,53968,54048,6
signals,BenchmarkKernels,20080,19704,-1.872509960159363,0.025974025974025976,22068,19852,6
signals,BenchmarkSqliBenign,13048,12908,-1.0729613733905574,0.4155844155844156,13192,13248,6
signals,BenchmarkDecode,104692,101656,-2.899935047568103,0.3939393939393939,112064,107028,6
signals,BenchmarkValidate,88786,88406,-0.42799540468091424,0.5887445887445888,90968,91400,6
signals,BenchmarkValidateWorkers,90892,90790,-0.11222109756634513,1,94812,91836,6
signals,BenchmarkCompile,1615732,1803988,11.651437243305196,0.0021645021645021645,1651360,1916688,6
signals,BenchmarkCompileWorkers,794422,834710,5.071360058004437,0.0021645021645021645,802312,880344,6
signals,BenchmarkCompileFullOptimizationAblation,12564,12964,3.183699458771083,0.6991341991341992,14972,14836,6
signals,BenchmarkCompileFullWorkers,222850,223142,0.13102984070001433,0.48484848484848486,224176,224396,6
signals,BenchmarkCompileMultiModuleThroughput,184982,184030,-0.5146446681298711,0.9372294372294372,191504,193528,6
signals,BenchmarkInstantiate,80124,80028,-0.11981428785382553,0.9372294372294372,81664,80340,6
