bounds	benchmark	unit	main	fixed	delta_percent	p
explicit	BenchmarkExecParallel/process/json-as-simd.serializeN	B/op	0	0.5		0.42424242424242425
signals	BenchmarkExecParallel/independent/mandelbrot.render	B/op	0	1.5		0.08008658008658008
signals	BenchmarkExecParallel/process/sha256.hashN	B/op	0	1		0.6212121212121212
signals	BenchmarkExecParallel/process/json-as.serializeN	B/op	0	1		0.5670995670995671
signals	BenchmarkExecParallel/process/isa_i32.or	B/op	0	1		0.5670995670995671
signals	BenchmarkExecParallel/process/isa_i32.shl	B/op	0	0.5		1
signals	BenchmarkExecParallel/process/isa_i32.shr_s	B/op	0	1		0.5670995670995671
signals	BenchmarkExecParallel/process/isa_i32.rotr	B/op	0	1		0.24242424242424243
signals	BenchmarkExecParallel/process/isa_i32.ctz	B/op	0	0.5		0.5454545454545454
signals	BenchmarkExecParallel/process/isa_i64.or	B/op	0	0.5		0.9242424242424242
signals	BenchmarkExecParallel/process/isa_i64.rotr	B/op	0	0.5		0.5454545454545454
signals	BenchmarkExecParallel/process/isa_ctl.br_if	B/op	0	0.5		1
signals	BenchmarkExecParallel/process/isa_simd_i64x2.mul	B/op	0	1		0.5670995670995671
signals	BenchmarkExecParallel/process/isa_simd_f32x4.div	B/op	0	1		0.12337662337662338
signals	BenchmarkExecParallel/process/isa_simd_f64x2.min	B/op	0	0.5		0.18181818181818182
signals	BenchmarkExecParallel/process/isa_i32.rem_u	B/op	1	4.5	350	0.08874458874458875
signals	BenchmarkExecParallel/process/isa_f64.add	B/op	0.5	1.5	200	0.5670995670995671
explicit	BenchmarkExecParallel/process/matmul.run	B/op	4.5	13	188.88888888888889	0.07142857142857142
signals	BenchmarkExecParallel/process/isa_f64.sqrt	B/op	2	5.5	175	0.5887445887445888
explicit	BenchmarkExecParallel/process/blake-as.hashN	B/op	6.5	17.5	169.23076923076925	0.2510822510822511
signals	BenchmarkExecParallel/process/isa_f64.floor	B/op	1.5	3.5	133.33333333333334	0.5173160173160173
signals	BenchmarkExecParallel/process/utf-as.convertN	B/op	3.5	8	128.57142857142856	0.6320346320346321
explicit	BenchmarkExecParallel/process/json-as.serializeN	B/op	0.5	1	100	1
explicit	BenchmarkExecParallel/process/json-as-simd.deserializeN	B/op	2	4	100	0.27705627705627706
explicit	BenchmarkExecParallel/process/utf-as-simd.convertN	B/op	1.5	3	100	0.16666666666666666
signals	BenchmarkExecParallel/process/utf-as-simd.convertN	B/op	2	4	100	0.13636363636363635
signals	BenchmarkExecParallel/process/isa_i32.and	B/op	0.5	1	100	1
signals	BenchmarkExecParallel/process/isa_f32.floor	B/op	1	2	100	1
signals	BenchmarkExecParallel/process/isa_f64.mul	B/op	0.5	1	100	0.7077922077922078
explicit	BenchmarkExecParallel/process/fib_rec.fib	B/op	6	10.5	75	0.16233766233766234
signals	BenchmarkExecParallel/process/isa_cvt.reinterpret_f32	B/op	1.5	2.5	66.66666666666667	0.670995670995671
