goos: linux
goarch: amd64
pkg: wagobench
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkPluginExec/wasm3-8         	       1	  23821275 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  24145426 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23564631 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23941902 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  25603743 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  26006863 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  24571019 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  25668946 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  22539931 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  25284541 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23238646 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23203350 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  25114131 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  26657148 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23876188 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23654992 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  24515833 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  25887759 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  22337128 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23705978 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  22536172 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  22375367 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23736433 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  22597216 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  22783586 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23040160 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  24197412 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23535084 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23903087 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23416890 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  22334200 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  24904674 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  24313510 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  25818216 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  24119585 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  22965280 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  24582497 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23944684 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  23563247 ns/op	       0 B/op	       0 allocs/op
BenchmarkPluginExec/wasm3-8         	       1	  22956132 ns/op	       0 B/op	       0 allocs/op
PASS
