run,bounds,benchmark,unit,main_median,after_median,change_percent,p,main_samples,after_samples,prior_median,after_vs_prior_percent,p_vs_prior,benchtime,note
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/tiny,ns/op,126126,123917.5,-1.7510267510267519,1,6,6,124684,-0.6147540983606592,0.8181818181818182,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/tiny,B/op,10784,10784,0,1,6,6,10784,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/tiny,allocs/op,27,27,0,1,6,6,27,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/fib_iter,ns/op,60508.5,61484.5,1.612996521149923,0.5887445887445888,6,6,51521.5,19.337558106809773,0.025974025974025976,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/fib_iter,B/op,13184,12672,-3.8834951456310662,0.0021645021645021645,6,6,12672,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/fib_iter,allocs/op,28,28,0,1,6,6,28,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/fib_rec,ns/op,56235.5,50620,-9.985685198851257,0.48484848484848486,6,6,62707.5,-19.276003667822827,0.24025974025974026,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/fib_rec,B/op,13264,12496,-5.79010856453559,0.0021645021645021645,6,6,12496,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/fib_rec,allocs/op,37,37,0,1,6,6,37,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/arith,ns/op,43772,40606,-7.23293429589692,0.5887445887445888,6,6,50043.5,-18.85859302406906,0.04112554112554113,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/arith,B/op,27456,12864,-53.14685314685315,0.0021645021645021645,6,6,12864,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/arith,allocs/op,27,27,0,1,6,6,27,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/float,ns/op,44934,47389,5.46356878978056,1,6,6,56215.5,-15.701185616066748,0.17965367965367965,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/float,B/op,28048,13456,-52.02509982886481,0.0021645021645021645,6,6,13456,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/float,allocs/op,41,41,0,1,6,6,41,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/memory,ns/op,57202,45435,-20.570959057375614,0.04112554112554113,6,6,48791.5,-6.879272004345016,0.30952380952380953,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/memory,B/op,13584,12688,-6.595995288574796,0.0021645021645021645,6,6,12688,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/memory,allocs/op,34,34,0,1,6,6,34,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/memory_tree,ns/op,57738.5,54387,-5.804619101639286,0.5887445887445888,6,6,61465,-11.515496624095011,0.13203463203463203,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/memory_tree,B/op,28448,16928,-40.4949381327334,0.0021645021645021645,6,6,16928,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/memory_tree,allocs/op,51,51,0,1,6,6,51,0,1,1x,single-operation memory check; not a timing claim
