bounds,benchmark,engine,unit,main_median,after_median,change_percent,p,main_samples,after_samples,measurement,status
explicit,BenchmarkCompile/tiny,wago,ns/op,6037.5,5904.5,-2.2028985507246412,0.06493506493506493,6,6,reported,paired
explicit,BenchmarkCompile/tiny,wago,B/op,8125,8123,-0.02461538461538959,0.13203463203463203,6,6,reported,paired
explicit,BenchmarkCompile/tiny,wago,allocs/op,21,21,0,1,6,6,reported,paired
explicit,BenchmarkCompile/fib_iter,wago,ns/op,7324.5,6741,-7.966414089698959,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/fib_iter,wago,B/op,10676,10307.5,-3.451667291120275,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/fib_iter,wago,allocs/op,23,23,0,1,6,6,reported,paired
explicit,BenchmarkCompile/fib_rec,wago,ns/op,7634,7009.5,-8.180508252554365,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/fib_rec,wago,B/op,10696,9928,-7.18025430067315,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/fib_rec,wago,allocs/op,32,32,0,1,6,6,reported,paired
explicit,BenchmarkCompile/arith,wago,ns/op,8430.5,6809,-19.23373465393512,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/arith,wago,B/op,24896,10406.5,-58.20011246786632,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/arith,wago,allocs/op,22,22,0,1,6,6,reported,paired
explicit,BenchmarkCompile/float,wago,ns/op,8628.5,7011.5,-18.740221359448338,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/float,wago,B/op,25571,10499.5,-58.93981463376481,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/float,wago,allocs/op,27,27,0,1,6,6,reported,paired
explicit,BenchmarkCompile/memory,wago,ns/op,10338,9022.5,-12.724898432965759,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/memory,wago,B/op,11016,10120,-8.133623819898329,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/memory,wago,allocs/op,28,28,0,1,6,6,reported,paired
explicit,BenchmarkCompile/memory_tree,wago,ns/op,15881.5,13591.5,-14.419292887951386,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/memory_tree,wago,B/op,25888,14368,-44.499381953028426,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/memory_tree,wago,allocs/op,46,46,0,1,6,6,reported,paired
explicit,BenchmarkCompile/globals,wago,ns/op,8157.5,7566,-7.25099601593625,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/globals,wago,B/op,10480,9720,-7.25190839694656,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/globals,wago,allocs/op,31,31,0,1,6,6,reported,paired
explicit,BenchmarkCompile/dispatch,wago,ns/op,13824.5,13316.5,-3.674635610691168,0.04112554112554113,6,6,reported,paired
explicit,BenchmarkCompile/dispatch,wago,B/op,24360,24344,-0.06568144499179418,0.047619047619047616,6,6,reported,paired
explicit,BenchmarkCompile/dispatch,wago,allocs/op,41,41,0,1,6,6,reported,paired
explicit,BenchmarkCompile/branches,wago,ns/op,6677.5,6447,-3.4518906776488167,0.004329004329004329,6,6,reported,paired
explicit,BenchmarkCompile/branches,wago,B/op,10690,10448,-2.263797942001866,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/branches,wago,allocs/op,21,21,0,1,6,6,reported,paired
explicit,BenchmarkCompile/many_funcs,wago,ns/op,310716.5,289481,-6.834365088432703,0.0021645021645021645,6,6,reported,paired
