run,bounds,benchmark,unit,main,after,absolute_change,change_percent,p,samples_each
"fixed-memory","explicit","BenchmarkCompileFullWorkers/esbuild/p2","allocs/op",22453.5,23979,1525.5,6.79404101810408,0.04112554112554113,6
"fixed-memory","explicit","BenchmarkCompileFullWorkers/esbuild/auto","allocs/op",27511.5,28781,1269.5,4.614433963978692,0.6991341991341992,6
"full","explicit","BenchmarkCompileFullWorkers/esbuild/auto","allocs/op",27866.5,28930.5,1064,3.8182046543340675,0.48484848484848486,6
"fixed-memory","signals","BenchmarkCompileFullWorkers/esbuild/auto","allocs/op",27474,28364,890,3.239426366746745,0.5887445887445888,6
"full","signals","BenchmarkCompileFullWorkers/esbuild/p4","allocs/op",27676,28208.5,532.5,1.9240497181673755,0.5887445887445888,6
"confirm","signals","BenchmarkCompileWorkers/esbuild/p4","allocs/op",18910.5,19387.5,477,2.5224081859284597,0.05186461136117887,12
"confirm","explicit","BenchmarkCompileFullWorkers/esbuild/auto","allocs/op",27820,28251,431,1.5492451473759994,0.2656695841512102,12
"full","signals","BenchmarkCompileFullWorkers/esbuild/auto","allocs/op",28000.5,28297.5,297,1.0606953447259926,0.8181818181818182,6
"fixed-memory","signals","BenchmarkCompileFullWorkers/esbuild/p4","allocs/op",28098,28362,264,0.9395686525731417,0.9372294372294372,6
"confirm","signals","BenchmarkCompileWorkers/esbuild/p8","allocs/op",25594,25788.5,194.5,0.7599437368133177,0.2721551567291236,12
"confirm","signals","BenchmarkCompileFullWorkers/esbuild/p8","allocs/op",34330.5,34524.5,194,0.5650951777573798,0.9774021912936975,12
"confirm","explicit","BenchmarkCompileFullWorkers/esbuild/p4","allocs/op",27677,27844,167,0.6033890956389731,0.9323005033733262,12
"full","explicit","BenchmarkCompileWorkers/esbuild/p2","allocs/op",14992.5,15140,147.5,0.9838252459563046,1,6
"fixed-memory","explicit","BenchmarkCompileFullWorkers/sqlite3/p2","allocs/op",8309.5,8412.5,103,1.239545098983097,0.13203463203463203,6
