run,bounds,benchmark,unit,main_median,after_median,change_percent,p,samples_each,benchtime,note
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,ns/op,989594,887118,-10.355357853826918,0.04112554112554113,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,code-B,57638,57638,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,B/op,433860,434128,0.06177107822800121,0.6991341991341992,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,allocs/op,270.5,243,-10.16635859519408,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,ns/op,864461.5,565110,-34.62866767345915,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,code-B,57638,57638,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,B/op,544312,568588,4.4599420920354405,0.015151515151515152,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,allocs/op,402.5,387.5,-3.7267080745341574,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/ruby/p8,ns/op,222169106.5,91032442,-59.02560736994277,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/ruby/p8,code-B,35172218,35172218,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/ruby/p8,B/op,139942592,139245712,-0.4979756270342639,0.48484848484848486,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/ruby/p8,allocs/op,14370.5,14384.5,0.09742180160745573,0.5887445887445888,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p4,ns/op,27623460.5,15066596,-45.45724638663574,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p4,code-B,3636329,3636329,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p4,B/op,14081896,14226856,1.029406835556812,0.8181818181818182,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p4,allocs/op,3574,3556.5,-0.4896474538332418,0.17965367965367965,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p8,ns/op,21749179.5,9152173,-57.91945622592337,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p8,code-B,3636329,3636329,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p8,B/op,16787848,15861392,-5.518610842795335,0.6991341991341992,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p8,allocs/op,4522,4495.5,-0.5860238832375075,0.13203463203463203,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p8,ns/op,47717912.5,18014678.5,-62.24755535984521,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p8,code-B,3648553,3648553,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p8,B/op,19148492,18185352,-5.0298477812247615,0.13203463203463203,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p8,allocs/op,10044.5,9987,-0.5724525859923335,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/json-as/p8,ns/op,1895626.5,1186726,-37.3966337778038,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/json-as/p8,code-B,66502,66502,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/json-as/p8,B/op,881180,890620,1.071290769195854,0.30952380952380953,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/json-as/p8,allocs/op,1008.5,975.5,-3.2721864154685143,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/tiny/p2,ns/op,133606.5,126578,-5.260597351176777,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/tiny/p2,code-B,96,96,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/tiny/p2,B/op,18752,18320,-2.3037542662115995,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/tiny/p2,allocs/op,45,47,4.444444444444451,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,ns/op,69429862.5,40649329,-41.45267247216571,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,code-B,3648553,3648553,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,B/op,14709056,14674884,-0.23231946360119382,0.3939393939393939,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,allocs/op,8309.5,8412.5,1.239545098983097,0.13203463203463203,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,ns/op,503729472,290144597.5,-42.40071037574709,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,code-B,26629248,26629248,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,B/op,177005064,178769620,0.9968957724282967,0.025974025974025976,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,allocs/op,22453.5,23979,6.79404101810408,0.04112554112554113,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/auto,ns/op,404772298.5,189927216.5,-53.07801022850875,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/auto,code-B,26629248,26629248,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/auto,B/op,187674900,188103980,0.22862940116126218,0.6991341991341992,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/auto,allocs/op,27511.5,28781,4.614433963978692,0.6991341991341992,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,ns/op,874000,660596,-24.41693363844394,0.004329004329004329,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,code-B,57638,57638,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,B/op,759384,753712,-0.7469211887529914,0.9372294372294372,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,allocs/op,573,589,2.7923211169284423,0.3939393939393939,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,ns/op,7660750.5,4335056,-43.412123916579716,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,code-B,890004,890004,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,B/op,4423344,4444536,0.4790945492821663,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,allocs/op,1492.5,1465.5,-1.8090452261306567,0.045454545454545456,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p8,ns/op,6682187,3421096.5,-48.80274227584472,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p8,code-B,890004,890004,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p8,B/op,5258360,5352748,1.7950083295932506,0.30952380952380953,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p8,allocs/op,2226,2150.5,-3.391734052111406,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,ns/op,253477251.5,171802729,-32.221638043128294,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,code-B,26622496,26622496,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,B/op,113374840,113520384,0.12837416132185364,0.17965367965367965,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,allocs/op,15145.5,15160.5,0.099039318609484,0.9372294372294372,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFull/many_funcs,ns/op,862753.5,826010,-4.25886420628836,0.6991341991341992,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFull/many_funcs,code-B,7817,7817,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFull/many_funcs,B/op,167064,169560,1.4940382129004393,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFull/many_funcs,allocs/op,100,102,2.0000000000000018,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFull/json-as,ns/op,2263730,1721774.5,-23.940818913916416,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFull/json-as,code-B,66502,66502,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFull/json-as,B/op,225448,226408,0.42581881409460287,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFull/json-as,allocs/op,422,424,0.4739336492890933,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,ns/op,392095141.5,183073050.5,-53.30902346822373,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,code-B,26629248,26629248,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,B/op,186325204,188970520,1.4197306339726268,0.025974025974025976,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,allocs/op,27621.5,27706,0.30592111217710993,0.6991341991341992,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p8,ns/op,140796538.5,51482829.5,-63.434591469022514,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p8,code-B,26622496,26622496,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p8,B/op,134262732,133211428,-0.78301996714919,0.8181818181818182,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p8,allocs/op,26279.5,26216,-0.2416332121996212,0.8181818181818182,6,1x,"memory check, not a timing claim"
fixed-instantiate-explicit,explicit,BenchmarkPluginInstantiate/ruby,ns/op,1851169,1685132,-8.96930534165168,0.06493506493506493,6,128x,equal work
fixed-instantiate-explicit,explicit,BenchmarkPluginInstantiate/ruby,B/op,302069,86629,-71.32145304549623,0.0021645021645021645,6,128x,equal work
fixed-instantiate-explicit,explicit,BenchmarkPluginInstantiate/ruby,allocs/op,9405,779,-91.71717171717172,0.0021645021645021645,6,128x,equal work
fixed-rss-explicit,explicit,BenchmarkCompileCompact/tiny,ns/op,111431.5,126496.5,13.519516474246519,0.3939393939393939,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/tiny,B/op,10848,10848,0,1,6,1x,"memory check, not a timing claim"
