bounds,benchmark,unit,main_median,after_median,change_percent,p,main_samples,after_samples,measurement
signals,BenchmarkExecParallel/independent/isa_simd_i64x2.extend_high_s,ns/op,290.04999999999995,288.79999999999995,-0.4309601792794382,0.7666628700415212,12,12,reported
signals,BenchmarkExecParallel/independent/isa_simd_i64x2.extend_high_s,B/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/independent/isa_simd_i64x2.extend_high_s,allocs/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/independent/isa_ctl.if_else,ns/op,1660.5,1644.5,-0.9635651912074716,0.6706595329559389,12,12,reported
signals,BenchmarkExecParallel/independent/isa_ctl.if_else,B/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/independent/isa_ctl.if_else,allocs/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/independent/spectralnorm.run,ns/op,96155.5,98573,2.5141567565037937,0.17818202795992538,12,12,reported
signals,BenchmarkExecParallel/independent/spectralnorm.run,B/op,1.5,2.5,66.66666666666667,0.4276276960352879,12,12,reported
signals,BenchmarkExecParallel/independent/spectralnorm.run,allocs/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/independent/matmul.run,ns/op,17747.5,17915.5,0.9466121989012644,0.629725504001988,12,12,reported
signals,BenchmarkExecParallel/independent/matmul.run,B/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/independent/matmul.run,allocs/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/independent/nbody.step,ns/op,41235.5,41075,-0.38922772853487997,0.2913426592252814,12,12,reported
signals,BenchmarkExecParallel/independent/nbody.step,B/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/independent/nbody.step,allocs/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/independent/arith.run,ns/op,219.64999999999998,219.1,-0.2503983610289029,0.3253784175173326,12,12,reported
signals,BenchmarkExecParallel/independent/arith.run,B/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/independent/arith.run,allocs/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/independent/isa_ctl.br_table,ns/op,3237.5,3252.5,0.4633204633204713,0.9892602349864431,12,12,reported
signals,BenchmarkExecParallel/independent/isa_ctl.br_table,B/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/independent/isa_ctl.br_table,allocs/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/process/isa_bulk_mem.copy_fwd_64,ns/op,350.25,352.1,0.5281941470378415,0.7552848282421576,12,12,reported
signals,BenchmarkExecParallel/process/isa_bulk_mem.copy_fwd_64,B/op,0,0,0,1,12,12,reported
signals,BenchmarkExecParallel/process/isa_bulk_mem.copy_fwd_64,allocs/op,0,0,0,1,12,12,reported
signals,BenchmarkPluginInstantiate/ruby,ns/op,1867957.5,1648693,-11.738195328319833,0.000001479204602101358,12,12,reported
signals,BenchmarkPluginInstantiate/ruby,B/op,295183,79230.5,-73.15885399904467,7.39602301050679e-7,12,12,reported
signals,BenchmarkPluginInstantiate/ruby,allocs/op,9177,534.5,-94.17565653263593,7.39602301050679e-7,12,12,reported
signals,BenchmarkExec/fib_rec.fib,ns/op,1235133,1234574.5,-0.0452178024552774,0.5898757320213774,12,12,reported
signals,BenchmarkExec/fib_rec.fib,calls/batch,2,2,0,1,12,12,reported
signals,BenchmarkExec/fib_rec.fib,B/op,0,0,0,1,12,12,raw per batch; use per-call metric
