bounds,label,group,sample,peak_rss_KiB
signals,base,BenchmarkPluginInstantiate,0,219172
signals,final,BenchmarkPluginInstantiate,0,209260
signals,final,BenchmarkPluginInstantiate,1,214792
signals,base,BenchmarkPluginInstantiate,1,214884
signals,base,BenchmarkPluginInstantiate,2,209248
signals,final,BenchmarkPluginInstantiate,2,214932
signals,final,BenchmarkPluginInstantiate,3,223392
signals,base,BenchmarkPluginInstantiate,3,209120
signals,base,BenchmarkPluginInstantiate,4,211360
signals,final,BenchmarkPluginInstantiate,4,207528
signals,final,BenchmarkPluginInstantiate,5,214560
signals,base,BenchmarkPluginInstantiate,5,214924
signals,base,BenchmarkPluginExec,0,237768
signals,final,BenchmarkPluginExec,0,236036
signals,final,BenchmarkPluginExec,1,240220
signals,base,BenchmarkPluginExec,1,240212
signals,base,BenchmarkPluginExec,2,243748
signals,final,BenchmarkPluginExec,2,238912
signals,final,BenchmarkPluginExec,3,234420
signals,base,BenchmarkPluginExec,3,239836
signals,base,BenchmarkPluginExec,4,240732
signals,final,BenchmarkPluginExec,4,238620
signals,final,BenchmarkPluginExec,5,238788
signals,base,BenchmarkPluginExec,5,236328
signals,base,BenchmarkExec,0,54904
signals,final,BenchmarkExec,0,54516
signals,final,BenchmarkExec,1,54944
signals,base,BenchmarkExec,1,54748
signals,base,BenchmarkExec,2,54412
signals,final,BenchmarkExec,2,56900
signals,final,BenchmarkExec,3,54884
signals,base,BenchmarkExec,3,54176
signals,base,BenchmarkExec,4,54608
signals,final,BenchmarkExec,4,54696
signals,final,BenchmarkExec,5,54728
signals,base,BenchmarkExec,5,54812
signals,base,BenchmarkExecParallel,0,85596
signals,final,BenchmarkExecParallel,0,85528
signals,final,BenchmarkExecParallel,1,85616
signals,base,BenchmarkExecParallel,1,85692
signals,base,BenchmarkExecParallel,2,85416
signals,final,BenchmarkExecParallel,2,85484
signals,final,BenchmarkExecParallel,3,86164
signals,base,BenchmarkExecParallel,3,87504
signals,base,BenchmarkExecParallel,4,85620
signals,final,BenchmarkExecParallel,4,87544
signals,final,BenchmarkExecParallel,5,85688
signals,base,BenchmarkExecParallel,5,85496
signals,base,BenchmarkCompileFull,0,143928
signals,final,BenchmarkCompileFull,0,155788
signals,final,BenchmarkCompileFull,1,151756
signals,base,BenchmarkCompileFull,1,142740
signals,base,BenchmarkCompileFull,2,143816
signals,final,BenchmarkCompileFull,2,153828
signals,final,BenchmarkCompileFull,3,152032
signals,base,BenchmarkCompileFull,3,143556
signals,base,BenchmarkCompileFull,4,148852
signals,final,BenchmarkCompileFull,4,152308
signals,final,BenchmarkCompileFull,5,155764
signals,base,BenchmarkCompileFull,5,143256
signals,base,BenchmarkCompileCompact,0,1927420
signals,final,BenchmarkCompileCompact,0,2186916
signals,final,BenchmarkCompileCompact,1,1999216
signals,base,BenchmarkCompileCompact,1,2032716
signals,base,BenchmarkCompileCompact,2,1919568
signals,final,BenchmarkCompileCompact,2,2114936
signals,final,BenchmarkCompileCompact,3,2146908
signals,base,BenchmarkCompileCompact,3,1936736
signals,base,BenchmarkCompileCompact,4,1843448
signals,final,BenchmarkCompileCompact,4,2061244
signals,final,BenchmarkCompileCompact,5,2184568
signals,base,BenchmarkCompileCompact,5,1873492
signals,base,BenchmarkCompile_wago,0,102320
signals,final,BenchmarkCompile_wago,0,109372
signals,final,BenchmarkCompile_wago,1,110340
signals,base,BenchmarkCompile_wago,1,58036
signals,base,BenchmarkCompile_wago,2,59056
signals,final,BenchmarkCompile_wago,2,106296
signals,final,BenchmarkCompile_wago,3,104060
signals,base,BenchmarkCompile_wago,3,58264
signals,base,BenchmarkCompile_wago,4,93696
signals,final,BenchmarkCompile_wago,4,110184
signals,final,BenchmarkCompile_wago,5,111664
signals,base,BenchmarkCompile_wago,5,59240
signals,base,BenchmarkCompile_wazero,0,18864
signals,final,BenchmarkCompile_wazero,0,17660
signals,final,BenchmarkCompile_wazero,1,18640
signals,base,BenchmarkCompile_wazero,1,19724
signals,base,BenchmarkCompile_wazero,2,18040
signals,final,BenchmarkCompile_wazero,2,25592
signals,final,BenchmarkCompile_wazero,3,19816
signals,base,BenchmarkCompile_wazero,3,18748
signals,base,BenchmarkCompile_wazero,4,18180
signals,final,BenchmarkCompile_wazero,4,18736
signals,final,BenchmarkCompile_wazero,5,19124
signals,base,BenchmarkCompile_wazero,5,18684
signals,base,BenchmarkInstantiate_wago,0,20652
signals,final,BenchmarkInstantiate_wago,0,20864
signals,final,BenchmarkInstantiate_wago,1,20396
signals,base,BenchmarkInstantiate_wago,1,20672
signals,base,BenchmarkInstantiate_wago,2,20568
signals,final,BenchmarkInstantiate_wago,2,20680
signals,final,BenchmarkInstantiate_wago,3,20800
signals,base,BenchmarkInstantiate_wago,3,20872
signals,base,BenchmarkInstantiate_wago,4,20644
signals,final,BenchmarkInstantiate_wago,4,20996
signals,final,BenchmarkInstantiate_wago,5,20688
signals,base,BenchmarkInstantiate_wago,5,20648
signals,base,BenchmarkInstantiate_wazero,0,19644
signals,final,BenchmarkInstantiate_wazero,0,19016
signals,final,BenchmarkInstantiate_wazero,1,19696
signals,base,BenchmarkInstantiate_wazero,1,19008
signals,base,BenchmarkInstantiate_wazero,2,17204
signals,final,BenchmarkInstantiate_wazero,2,19048
signals,final,BenchmarkInstantiate_wazero,3,21488
signals,base,BenchmarkInstantiate_wazero,3,19464
signals,base,BenchmarkInstantiate_wazero,4,19204
signals,final,BenchmarkInstantiate_wazero,4,19192
signals,final,BenchmarkInstantiate_wazero,5,18920
signals,base,BenchmarkInstantiate_wazero,5,18976
signals,base,BenchmarkExecFibLoop_wago,0,16592
signals,final,BenchmarkExecFibLoop_wago,0,16132
signals,final,BenchmarkExecFibLoop_wago,1,16180
signals,base,BenchmarkExecFibLoop_wago,1,16664
signals,base,BenchmarkExecFibLoop_wago,2,16492
signals,final,BenchmarkExecFibLoop_wago,2,16420
signals,final,BenchmarkExecFibLoop_wago,3,16356
signals,base,BenchmarkExecFibLoop_wago,3,16368
signals,base,BenchmarkExecFibLoop_wago,4,16752
signals,final,BenchmarkExecFibLoop_wago,4,16432
signals,final,BenchmarkExecFibLoop_wago,5,16400
signals,base,BenchmarkExecFibLoop_wago,5,18404
signals,base,BenchmarkExecFibLoop_wazero,0,18876
signals,final,BenchmarkExecFibLoop_wazero,0,19052
signals,final,BenchmarkExecFibLoop_wazero,1,18960
signals,base,BenchmarkExecFibLoop_wazero,1,16916
signals,base,BenchmarkExecFibLoop_wazero,2,19172
signals,final,BenchmarkExecFibLoop_wazero,2,21196
signals,final,BenchmarkExecFibLoop_wazero,3,18936
signals,base,BenchmarkExecFibLoop_wazero,3,19016
signals,base,BenchmarkExecFibLoop_wazero,4,21224
signals,final,BenchmarkExecFibLoop_wazero,4,18832
signals,final,BenchmarkExecFibLoop_wazero,5,19088
signals,base,BenchmarkExecFibLoop_wazero,5,18968
signals,base,BenchmarkExecFibRec_wago,0,14472
signals,final,BenchmarkExecFibRec_wago,0,16192
signals,final,BenchmarkExecFibRec_wago,1,16536
signals,base,BenchmarkExecFibRec_wago,1,16464
signals,base,BenchmarkExecFibRec_wago,2,16216
signals,final,BenchmarkExecFibRec_wago,2,16512
signals,final,BenchmarkExecFibRec_wago,3,16544
signals,base,BenchmarkExecFibRec_wago,3,16396
