stage,bounds,benchmark,engine,kind,unit,main_median,branch_median,absolute_increase,increase_percent,p,unadjusted_p_below_005,samples_each,benchtime,note
full screen,signals,BenchmarkWazeroExec/branches.classify,wazero,raw batch counter,allocs/op,88549.5,91424.5,2875,3.246771579737895,0.09307359307359307,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/dispatch.apply,wazero,raw batch counter,allocs/op,82557.5,83840,1282.5,1.5534627380916266,0.9372294372294372,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/swar-pack-parse.pack,wazero,raw batch counter,allocs/op,92036,92952.5,916.5,0.9958059889608517,0.5887445887445888,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,explicit,BenchmarkWazeroExec/xjb-mulhi.mulhi,wazero,raw batch counter,allocs/op,86148,86827,679,0.7881784835399586,0.6991341991341992,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,explicit,BenchmarkWazeroExec/memory.sum,wazero,raw batch counter,allocs/op,6148.5,6810,661.5,10.758721639424241,0.24025974025974026,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/memory.sum,wazero,raw batch counter,allocs/op,6353,6900.5,547.5,8.61797575948371,0.13203463203463203,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/swar-pack-parse.parse4,wazero,raw batch counter,allocs/op,91428.5,91900.5,472,0.5162504033206172,0.9372294372294372,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,explicit,BenchmarkWazeroExec/isa_bulk_mem.copy_back_64,wazero,raw batch counter,allocs/op,2982,3177.5,195.5,6.55600268276324,0.30952380952380953,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,explicit,BenchmarkWazeroExec/isa_bulk_mem.copy_fwd_64,wazero,raw batch counter,allocs/op,2768.5,2917,148.5,5.363915477695502,0.04112554112554113,true,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/isa_bulk_mem.copy_back_64,wazero,raw batch counter,allocs/op,3008,3147.5,139.5,4.637632978723394,0.6991341991341992,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/arith.run,wazero,raw batch counter,allocs/op,1493.5,1598,104.5,6.9969869434215015,0.09307359307359307,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/isa_simd_f64x2.nearest,wazero,raw batch counter,allocs/op,781,824,43,5.5057618437900135,0.06926406926406926,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/tiny.add,wazero,raw batch counter,allocs/op,88448,88487,39,0.044093704775693965,1,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/isa_simd_i8x16.neg,wazero,raw batch counter,allocs/op,1529.5,1568,38.5,2.517162471395884,0.021645021645021644,true,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,explicit,BenchmarkWazeroExec/isa_simd_i32x4.extend_low_s,wazero,raw batch counter,allocs/op,1192.5,1225.5,33,2.767295597484276,0.12337662337662338,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,explicit,BenchmarkWazeroExec/isa_simd_i32x4.neg,wazero,raw batch counter,allocs/op,1533.5,1562,28.5,1.85849364199544,0.06277056277056277,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/isa_bulk_mem.copy_back_256,wazero,raw batch counter,allocs/op,1842.5,1869.5,27,1.4654002713704317,0.13203463203463203,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,explicit,BenchmarkWazeroExec/isa_simd_v128.and,wazero,raw batch counter,allocs/op,1194,1220,26,2.1775544388609624,0.22294372294372294,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/isa_simd_i8x16.shr_u,wazero,raw batch counter,allocs/op,618,643,25,4.045307443365687,0.12554112554112554,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,explicit,BenchmarkWazeroExec/isa_simd_i8x16.lt_s,wazero,raw batch counter,allocs/op,934,955,21,2.24839400428265,0.21861471861471862,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,explicit,BenchmarkWazeroExec/isa_simd_reduce.i8x16_all_true,wazero,raw batch counter,allocs/op,1057,1077.5,20.5,1.9394512771996109,0.7813852813852814,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/isa_simd_i8x16.max_s,wazero,raw batch counter,allocs/op,1206,1225.5,19.5,1.6169154228855787,0.13203463203463203,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/many_funcs.run,wazero,raw batch counter,allocs/op,81110.5,81130,19.5,0.02404127702331227,0.9372294372294372,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
full screen,signals,BenchmarkWazeroExec/isa_bulk_mem.copy_fwd_64,wazero,raw batch counter,allocs/op,2817.5,2835.5,18,0.6388642413487133,0.6991341991341992,false,6,100ms,Not a per-call regression; batch size can differ. See B/call and allocs/call.
