run,bounds,benchmark,version,unit,main_median,after_median,absolute_change,change_percent,p,prior_PR_median,change_vs_prior_percent,p_vs_prior,samples_each,note
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,before,ns/op,524555979,294800207,-229755772,-43.800048269014205,0.0021645021645021645,,,,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,final,ns/op,524555979,299297153.5,-225258825.5,-42.942761977363716,0.0021645021645021645,294800207,1.525421757929779,0.13203463203463203,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,before,code-B,26629248,26629248,0,0,1,,,,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,final,code-B,26629248,26629248,0,0,1,26629248,0,1,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,before,B/op,178664816,177341152,-1323664,-0.7408643904460721,0.06493506493506493,,,,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,final,B/op,178664816,165099644,-13565172,-7.592525659892657,0.0021645021645021645,177341152,-6.902801668954983,0.0021645021645021645,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,before,allocs/op,23991,23109,-882,-3.676378641990752,0.015151515151515152,,,,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,final,allocs/op,23991,20745,-3246,-13.53007377766663,0.0021645021645021645,23109,-10.229780604959105,0.0021645021645021645,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,before,ns/op,411973043.5,198391917.5,-213581126,-51.84347116148147,0.0021645021645021645,,,,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,final,ns/op,411973043.5,195968717,-216004326.5,-52.43166510723414,0.0021645021645021645,198391917.5,-1.221420978503318,0.48484848484848486,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,before,code-B,26629248,26629248,0,0,1,,,,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,final,code-B,26629248,26629248,0,0,1,26629248,0,1,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,before,B/op,188662172,186728892,-1933280,-1.024731126280043,0.5887445887445888,,,,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,final,B/op,188662172,172869968,-15792204,-8.370625564514334,0.0021645021645021645,186728892,-7.421949464574551,0.0021645021645021645,6,"One timed operation; memory check, not a timing claim."
