run,bounds,benchmark,version,main_KiB,after_KiB,change_percent,p,samples_each,note
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,before,184574,181680,-1.5679348120537062,0.06493506493506493,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p2,final,184574,188160,1.9428521893657846,0.025974025974025976,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,before,197192,192100,-2.582254858209254,0.09307359307359307,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,final,197192,190946,-3.167471297010016,0.030303030303030304,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/auto,before,196320,197334,0.5165036674816603,0.8181818181818182,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/auto,final,196320,194178,-1.0910757946210214,0.3939393939393939,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,before,65798,65624,-0.26444572783367315,0.09307359307359307,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,final,65798,65680,-0.1793367579561722,0.24025974025974026,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,before,91906,91146,-0.8269318651665802,0.9372294372294372,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,final,91906,91924,0.019585228385521347,0.8181818181818182,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
timed-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,before,197290,278688,41.25804653048812,0.0021645021645021645,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,final,197290,230206,16.684069136803693,0.008658008658008658,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,before,86538,93368,7.892486537705978,0.06493506493506493,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,final,86538,90356,4.411934641429194,0.13203463203463203,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,before,105996,99528,-6.102117061021173,0.015151515151515152,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,final,105996,106694,0.6585154156760531,0.6991341991341992,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkCompileCompact/json-as,before,95448,97508,2.1582432319168454,0.05844155844155844,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkCompileCompact/json-as,final,95448,97320,1.9612773447322152,0.05844155844155844,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,before,62586,62820,0.37388553350590215,0.9372294372294372,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,final,62586,63122,0.8564215639280448,0.13203463203463203,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkExec/isa_f32.min,before,63076,63182,0.1680512397742362,0.8181818181818182,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkExec/isa_f32.min,final,63076,63216,0.22195446762636184,0.5887445887445888,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkExec/tiny.add,before,66498,65802,-1.0466480194893046,0.6991341991341992,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkExec/tiny.add,final,66498,65270,-1.8466720803633208,0.04112554112554113,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkExecParallel/process/isa_bulk_mem.copy_fwd_64,before,87338,87252,-0.09846802079278572,0.6991341991341992,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-explicit,explicit,BenchmarkExecParallel/process/isa_bulk_mem.copy_fwd_64,final,87338,87294,-0.05037898738234903,0.9372294372294372,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p2,before,166934,165018,-1.1477589945727007,0.047619047619047616,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p2,final,166934,164724,-1.3238765020906484,0.015151515151515152,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p4,before,176094,169912,-3.510625007098478,0.13203463203463203,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p4,final,176094,174626,-0.8336456665190228,0.30952380952380953,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/auto,before,175072,172794,-1.3011789435203758,0.48484848484848486,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/auto,final,175072,173966,-0.6317400840796905,0.8181818181818182,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-signals,signals,BenchmarkCompileFullWorkers/sqlite3/p2,before,65060,65222,0.24900092222563952,0.24025974025974026,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-signals,signals,BenchmarkCompileFullWorkers/sqlite3/p2,final,65060,63514,-2.3762680602520736,0.30952380952380953,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-signals,signals,BenchmarkCompileWorkers/json-as/p8,before,92018,91992,-0.02825534134626162,0.6991341991341992,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
cold-signals,signals,BenchmarkCompileWorkers/json-as/p8,final,92018,90972,-1.1367341172379364,0.5887445887445888,6,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
timed-signals,signals,BenchmarkCompileFullWorkers/esbuild/p4,before,178958,212876,18.953050436415243,0.0021645021645021645,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkCompileFullWorkers/esbuild/p4,final,178958,193042,7.870003017467786,0.008658008658008658,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkCompileFullWorkers/sqlite3/p2,before,84746,91178,7.5897387487315005,0.0021645021645021645,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkCompileFullWorkers/sqlite3/p2,final,84746,97676,15.257357279399608,0.0021645021645021645,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkCompileWorkers/json-as/p8,before,106882,104740,-2.0040792649838157,0.06493506493506493,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkCompileWorkers/json-as/p8,final,106882,103960,-2.733856028143189,0.3939393939393939,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkCompileCompact/json-as,before,96454,98328,1.9428950587844884,0.0021645021645021645,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkCompileCompact/json-as,final,96454,98128,1.7355423310593698,0.0021645021645021645,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkExec/coremark.coremark_run,before,61926,61806,-0.19377967251235084,0.6991341991341992,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkExec/coremark.coremark_run,final,61926,61890,-0.058133901753709694,0.6190476190476191,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkExec/isa_f32.min,before,59420,59556,0.22887916526421748,0.8181818181818182,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkExec/isa_f32.min,final,59420,59556,0.22887916526421748,0.6991341991341992,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkExec/tiny.add,before,64310,64342,0.049758979940905945,0.5887445887445888,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkExec/tiny.add,final,64310,64158,-0.23635515471932544,0.48484848484848486,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkExecParallel/process/isa_bulk_mem.copy_fwd_64,before,80120,80126,0.007488766849728101,0.6666666666666666,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
timed-signals,signals,BenchmarkExecParallel/process/isa_bulk_mem.copy_fwd_64,final,80120,80092,-0.03494757863204967,0.9004329004329005,6,"Adaptive iteration counts: raw process evidence, not equal-work RSS."
join-screen,explicit,BenchmarkCompileFullWorkers/esbuild/p4,before,199040,191396,-3.840434083601285,,3,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
join-screen,explicit,BenchmarkCompileFullWorkers/esbuild/p4,join,199040,187116,-5.990755627009648,,3,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
join-screen,explicit,BenchmarkCompileFullWorkers/esbuild/p2,before,184980,180880,-2.2164558330630357,,3,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
join-screen,explicit,BenchmarkCompileFullWorkers/esbuild/p2,join,184980,186680,0.919018272245653,,3,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
join-screen,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,before,67484,66060,-2.110129808547212,,3,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
join-screen,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,join,67484,65688,-2.6613715843755603,,3,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
join-screen,explicit,BenchmarkCompileWorkers/json-as/p8,before,91888,94104,2.411631551453941,,3,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
join-screen,explicit,BenchmarkCompileWorkers/json-as/p8,join,91888,91828,-0.06529688316211368,,3,"Equal-work whole-process peak, includes setup and other decoded corpus modules."
