bounds,benchmark,engine,unit,main_median,after_median,change_percent,p,main_samples,after_samples,measurement,status
explicit,BenchmarkCompile/tiny,wago,ns/op,6024.5,5810,-3.560461449082908,0.004329004329004329,6,6,reported,paired
explicit,BenchmarkCompile/fib_iter,wago,ns/op,7320,6796.5,-7.1516393442622945,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/fib_rec,wago,ns/op,7529.5,6922,-8.068264825021586,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/arith,wago,ns/op,8398,6783,-19.23076923076923,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/float,wago,ns/op,8575.5,6985,-18.547023497172177,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/memory,wago,ns/op,10419.5,9147,-12.212678151542777,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/memory_tree,wago,ns/op,16052,13722.5,-14.512210316471464,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/globals,wago,ns/op,7894.5,7601.5,-3.7114446766736364,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/dispatch,wago,ns/op,13423.5,12878,-4.063768763735243,0.008658008658008658,6,6,reported,paired
explicit,BenchmarkCompile/branches,wago,ns/op,6662,6456.5,-3.084659261483036,0.015151515151515152,6,6,reported,paired
explicit,BenchmarkCompile/many_funcs,wago,ns/op,308589,271838.5,-11.909206096134339,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/linked_list,wago,ns/op,11495,10204.5,-11.226620269682474,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/mandelbrot,wago,ns/op,14460.5,12146.5,-16.00221292486429,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/sieve,wago,ns/op,13142,11079.5,-15.693958301628363,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/nbody,wago,ns/op,65257.5,52435,-19.649082480940883,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/spectralnorm,wago,ns/op,49966.5,41305,-17.33461419150831,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/fannkuch,wago,ns/op,82727.5,68329,-17.404732404581303,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/matmul,wago,ns/op,46267.5,39109.5,-15.470902901604799,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/quicksort,wago,ns/op,41925.5,35476.5,-15.382046725739706,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/crc32,wago,ns/op,24990,20998,-15.974389755902363,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/sha256,wago,ns/op,63899,53453,-16.34767367251444,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/raytrace,wago,ns/op,178692.5,146636.5,-17.939197224281934,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/regexmatch,wago,ns/op,38336377,32007928,-16.50768668098188,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/wasm3,wago,ns/op,10418536,8729606.5,-16.21081407214987,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/json-as,wago,ns/op,944155.5,810745.5,-14.130087681531279,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake-as,wago,ns/op,297771,234603.5,-21.21344926134513,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as,wago,ns/op,110584,90453,-18.20426101425161,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/xjb-mulhi,wago,ns/op,15196.5,12556,-17.37571151251933,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/swar-pack-parse,wago,ns/op,15686,13014.5,-17.031110544434526,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/json-as-simd,wago,ns/op,1052704,900511.5,-14.457292838252734,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake-as-simd,wago,ns/op,875234.5,750528,-14.248352870002268,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as-simd,wago,ns/op,366703,297341,-18.915034782916962,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/coremark,wago,ns/op,527940,424723,-19.55089593514414,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake3,wago,ns/op,839189.5,692494.5,-17.48055713280493,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/qoi,wago,ns/op,146514.5,118030.5,-19.441079210590072,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/lz4,wago,ns/op,111817.5,91930,-17.785677554944446,0.0021645021645021645,6,6,reported,paired
