run,bounds,benchmark,main_median_KiB,after_median_KiB,change_percent,p,samples_each,benchtime
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,89992,89908,-0.0933416303671386,1,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,91038,91162,0.13620685867439253,0.8506493506493507,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,91716,91794,0.08504513934319835,0.9372294372294372,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,93608,93150,-0.48927442098966045,1,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p8,96566,95880,-0.7103949630304696,0.3939393939393939,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,147834,143512,-2.9235493864740225,0.004329004329004329,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileFull/many_funcs,47202,47038,-0.34744290496165897,0.08874458874458875,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileFull/json-as,47668,47346,-0.6755055802634913,0.015151515151515152,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,196332,191216,-2.605790192123547,0.06493506493506493,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p8,182664,176548,-3.3482240616651393,0.04112554112554113,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/ruby/p8,189466,191048,0.8349783074535821,0.0021645021645021645,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p4,90230,86008,-4.679153274963976,0.04112554112554113,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p8,93222,92412,-0.8688936088047883,0.5887445887445888,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p8,76028,76232,0.26832219708528005,0.48484848484848486,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileFullWorkers/json-as/p8,51538,51674,0.2638829601459225,0.48484848484848486,6,1x
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/tiny/p2,89808,89586,-0.24719401389631246,0.9372294372294372,6,1x
fixed-instantiate-explicit,explicit,BenchmarkPluginInstantiate/ruby,212046,209388,-1.2535015987097164,0.17965367965367965,6,128x
fixed-rss-explicit,explicit,BenchmarkCompileCompact,160476,156728,-2.335551733592567,0.025974025974025976,6,1x
fixed-memory-signals,signals,BenchmarkCompileWorkers/json-as/p2,89728,90038,0.34548858773180147,0.9372294372294372,6,1x
fixed-memory-signals,signals,BenchmarkCompileWorkers/json-as/p4,91160,90090,-1.1737604212373798,0.06493506493506493,6,1x
fixed-memory-signals,signals,BenchmarkCompileWorkers/json-as/p8,91926,92970,1.1356961033875068,0.5887445887445888,6,1x
fixed-memory-signals,signals,BenchmarkCompileWorkers/lua/p4,94174,93026,-1.2190201117081134,0.30952380952380953,6,1x
fixed-memory-signals,signals,BenchmarkCompileWorkers/lua/p8,96272,96018,-0.2638357985707218,0.8181818181818182,6,1x
fixed-memory-signals,signals,BenchmarkCompileWorkers/esbuild/p2,146508,142544,-2.7056542987413668,0.0021645021645021645,6,1x
fixed-memory-signals,signals,BenchmarkCompileFull/many_funcs,47582,47702,0.2521962086503349,0.9372294372294372,6,1x
fixed-memory-signals,signals,BenchmarkCompileFull/json-as,47706,47696,-0.020961723892176654,0.9372294372294372,6,1x
fixed-memory-signals,signals,BenchmarkCompileFullWorkers/esbuild/p4,174902,171914,-1.7083852671781918,0.05844155844155844,6,1x
fixed-memory-signals,signals,BenchmarkCompileWorkers/esbuild/p8,181824,175968,-3.2206969376979977,0.0021645021645021645,6,1x
fixed-memory-signals,signals,BenchmarkCompileWorkers/ruby/p8,190952,190908,-0.023042439984921614,0.9090909090909091,6,1x
fixed-memory-signals,signals,BenchmarkCompileWorkers/sqlite3/p4,87136,86016,-1.285347043701801,0.17965367965367965,6,1x
fixed-memory-signals,signals,BenchmarkCompileWorkers/sqlite3/p8,93482,92654,-0.885732012579965,0.3939393939393939,6,1x
fixed-memory-signals,signals,BenchmarkCompileFullWorkers/sqlite3/p8,73424,73474,0.06809762475485925,0.8181818181818182,6,1x
fixed-memory-signals,signals,BenchmarkCompileFullWorkers/json-as/p8,50178,51776,3.1846626011399426,0.8181818181818182,6,1x
fixed-memory-signals,signals,BenchmarkCompileWorkers/tiny/p2,90004,89770,-0.25998844495800366,0.9372294372294372,6,1x
fixed-instantiate-signals,signals,BenchmarkPluginInstantiate/ruby,204188,201452,-1.3399416224263883,0.06493506493506493,6,128x
fixed-rss-signals,signals,BenchmarkCompileCompact,160030,158560,-0.9185777666687489,0.17965367965367965,6,1x
