bounds,label,group,sample,peak_rss_KiB
signals,base,BenchmarkPluginInstantiate,0,202236
signals,final,BenchmarkPluginInstantiate,0,219020
signals,final,BenchmarkPluginInstantiate,1,219452
signals,base,BenchmarkPluginInstantiate,1,219292
signals,base,BenchmarkPluginInstantiate,2,209072
signals,final,BenchmarkPluginInstantiate,2,209180
signals,final,BenchmarkPluginInstantiate,3,225316
signals,base,BenchmarkPluginInstantiate,3,206836
signals,base,BenchmarkPluginInstantiate,4,208248
signals,final,BenchmarkPluginInstantiate,4,220596
signals,final,BenchmarkPluginInstantiate,5,217004
signals,base,BenchmarkPluginInstantiate,5,209288
signals,base,BenchmarkPluginExec,0,239276
signals,final,BenchmarkPluginExec,0,238328
signals,final,BenchmarkPluginExec,1,240064
signals,base,BenchmarkPluginExec,1,240608
signals,base,BenchmarkPluginExec,2,238188
signals,final,BenchmarkPluginExec,2,237104
signals,final,BenchmarkPluginExec,3,239348
signals,base,BenchmarkPluginExec,3,239604
signals,base,BenchmarkPluginExec,4,238716
signals,final,BenchmarkPluginExec,4,239968
signals,final,BenchmarkPluginExec,5,234740
signals,base,BenchmarkPluginExec,5,241664
signals,base,BenchmarkExec,0,54796
signals,final,BenchmarkExec,0,52704
signals,final,BenchmarkExec,1,52464
signals,base,BenchmarkExec,1,54708
signals,base,BenchmarkExec,2,54576
signals,final,BenchmarkExec,2,54600
signals,final,BenchmarkExec,3,56864
signals,base,BenchmarkExec,3,54724
signals,base,BenchmarkExec,4,54968
signals,final,BenchmarkExec,4,52532
signals,final,BenchmarkExec,5,55196
signals,base,BenchmarkExec,5,54876
signals,base,BenchmarkExecParallel,0,85556
signals,final,BenchmarkExecParallel,0,85732
signals,final,BenchmarkExecParallel,1,87612
signals,base,BenchmarkExecParallel,1,85908
signals,base,BenchmarkExecParallel,2,87800
signals,final,BenchmarkExecParallel,2,85460
signals,final,BenchmarkExecParallel,3,85484
signals,base,BenchmarkExecParallel,3,85540
signals,base,BenchmarkExecParallel,4,85776
signals,final,BenchmarkExecParallel,4,85788
signals,final,BenchmarkExecParallel,5,85844
signals,base,BenchmarkExecParallel,5,85896
signals,base,BenchmarkCompileFull,0,145620
signals,final,BenchmarkCompileFull,0,152708
signals,final,BenchmarkCompileFull,1,152752
signals,base,BenchmarkCompileFull,1,148396
signals,base,BenchmarkCompileFull,2,146204
signals,final,BenchmarkCompileFull,2,152796
signals,final,BenchmarkCompileFull,3,153396
signals,base,BenchmarkCompileFull,3,147480
signals,base,BenchmarkCompileFull,4,148196
signals,final,BenchmarkCompileFull,4,152632
signals,final,BenchmarkCompileFull,5,155116
signals,base,BenchmarkCompileFull,5,142068
signals,base,BenchmarkCompileCompact,0,1847588
signals,final,BenchmarkCompileCompact,0,2306280
signals,final,BenchmarkCompileCompact,1,2147824
signals,base,BenchmarkCompileCompact,1,1739348
signals,base,BenchmarkCompileCompact,2,1912476
signals,final,BenchmarkCompileCompact,2,2064296
signals,final,BenchmarkCompileCompact,3,2062664
