bounds	benchmark	unit	base_median	candidate_median	delta_percent	p	base_n	candidate_n	status
explicit	BenchmarkCompile/tiny	ns/op	6024.5	5810	-3.560461449082908	0.004329004329004329	6	6	paired
explicit	BenchmarkCompile/tiny	B/op	8119	8118.5	-0.006158393890876024	0.8528138528138528	6	6	paired
explicit	BenchmarkCompile/tiny	allocs/op	21	21	0	1	6	6	paired
explicit	BenchmarkCompile/fib_iter	ns/op	7320	6796.5	-7.1516393442622945	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/fib_iter	B/op	10685.5	10328.5	-3.3409760890926954	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/fib_iter	allocs/op	23	23	0	1	6	6	paired
explicit	BenchmarkCompile/fib_rec	ns/op	7529.5	6922	-8.068264825021586	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/fib_rec	B/op	10696	9928	-7.18025430067315	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/fib_rec	allocs/op	32	32	0	1	6	6	paired
explicit	BenchmarkCompile/arith	ns/op	8398	6783	-19.23076923076923	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/arith	B/op	24896	10381.5	-58.300530205655534	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/arith	allocs/op	22	22	0	1	6	6	paired
explicit	BenchmarkCompile/float	ns/op	8575.5	6985	-18.547023497172177	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/float	B/op	25517.5	10513	-58.80082296463212	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/float	allocs/op	27	27	0	1	6	6	paired
explicit	BenchmarkCompile/memory	ns/op	10419.5	9147	-12.212678151542777	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/memory	B/op	11016	10120	-8.133623819898329	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/memory	allocs/op	28	28	0	1	6	6	paired
explicit	BenchmarkCompile/memory_tree	ns/op	16052	13722.5	-14.512210316471464	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/memory_tree	B/op	25888	14368	-44.499381953028426	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/memory_tree	allocs/op	46	46	0	1	6	6	paired
explicit	BenchmarkCompile/globals	ns/op	7894.5	7601.5	-3.7114446766736364	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/globals	B/op	10480	9720	-7.25190839694656	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/globals	allocs/op	31	31	0	1	6	6	paired
explicit	BenchmarkCompile/dispatch	ns/op	13423.5	12878	-4.063768763735243	0.008658008658008658	6	6	paired
explicit	BenchmarkCompile/dispatch	B/op	24360	24348	-0.049261083743845635	0.047619047619047616	6	6	paired
explicit	BenchmarkCompile/dispatch	allocs/op	41	41	0	1	6	6	paired
explicit	BenchmarkCompile/branches	ns/op	6662	6456.5	-3.084659261483036	0.015151515151515152	6	6	paired
explicit	BenchmarkCompile/branches	B/op	10688	10316.5	-3.4758607784431184	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/branches	allocs/op	21	21	0	1	6	6	paired
explicit	BenchmarkCompile/many_funcs	ns/op	308589	271838.5	-11.909206096134339	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/many_funcs	B/op	68320	68444	0.18149882903981673	0.021645021645021644	6	6	paired
explicit	BenchmarkCompile/many_funcs	allocs/op	34	34	0	1	6	6	paired
explicit	BenchmarkCompile/linked_list	ns/op	11495	10204.5	-11.226620269682474	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/linked_list	B/op	14321.5	12729	-11.11964528855217	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/linked_list	allocs/op	33	33	0	1	6	6	paired
explicit	BenchmarkCompile/mandelbrot	ns/op	14460.5	12146.5	-16.00221292486429	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/mandelbrot	B/op	27089	18220.5	-32.738380892613236	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/mandelbrot	allocs/op	39	39	0	1	6	6	paired
explicit	BenchmarkCompile/sieve	ns/op	13142	11079.5	-15.693958301628363	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/sieve	B/op	18052	13848	-23.288278307112787	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/sieve	allocs/op	32	32	0	1	6	6	paired
explicit	BenchmarkCompile/nbody	ns/op	65257.5	52435	-19.649082480940883	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/nbody	B/op	66588.5	66152	-0.6555185955532838	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/nbody	allocs/op	67	67	0	1	6	6	paired
explicit	BenchmarkCompile/spectralnorm	ns/op	49966.5	41305	-17.33461419150831	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/spectralnorm	B/op	60407	60128	-0.46186700216862553	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/spectralnorm	allocs/op	62	62	0	1	6	6	paired
explicit	BenchmarkCompile/fannkuch	ns/op	82727.5	68329	-17.404732404581303	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/fannkuch	B/op	66863	66728	-0.20190538863048557	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/fannkuch	allocs/op	66	66	0	1	6	6	paired
explicit	BenchmarkCompile/matmul	ns/op	46267.5	39109.5	-15.470902901604799	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/matmul	B/op	61741	61632	-0.1765439497254606	0.015151515151515152	6	6	paired
explicit	BenchmarkCompile/matmul	allocs/op	62	62	0	1	6	6	paired
explicit	BenchmarkCompile/quicksort	ns/op	41925.5	35476.5	-15.382046725739706	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/quicksort	B/op	27514.5	27472	-0.15446400988570197	0.18181818181818182	6	6	paired
