run,bounds,benchmark,main_median_KiB,after_median_KiB,change_percent,p,samples_each,benchtime
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,89368,89954,0.6557156924178686,0.48484848484848486,6,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,90976,90928,-0.052761167780512874,0.6991341991341992,6,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,91728,92162,0.47313797313797146,0.13203463203463203,6,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,94000,93802,-0.21063829787234534,0.6212121212121212,6,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p8,97174,95604,-1.6156585094778464,0.13203463203463203,6,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,147432,142960,-3.033262792338165,0.008658008658008658,6,1x
compact-memory-explicit,explicit,BenchmarkCompileFull/many_funcs,49160,47422,-3.5353946297803085,0.5887445887445888,6,1x
compact-memory-explicit,explicit,BenchmarkCompileFull/json-as,47456,47648,0.4045853000674393,0.017316017316017316,6,1x
compact-instantiate-explicit,explicit,BenchmarkPluginInstantiate/ruby,211408,209236,-1.0273972602739767,0.24025974025974026,6,128x
compact-rss-explicit,explicit,BenchmarkCompileCompact,158720,157826,-0.5632560483870952,0.09307359307359307,6,1x
compact-memory-signals,signals,BenchmarkCompileWorkers/json-as/p2,90488,88778,-1.8897533374591102,0.13203463203463203,6,1x
compact-memory-signals,signals,BenchmarkCompileWorkers/json-as/p4,90034,91846,2.0125730279672016,0.06493506493506493,6,1x
compact-memory-signals,signals,BenchmarkCompileWorkers/json-as/p8,91886,91960,0.08053457545218468,0.6991341991341992,6,1x
compact-memory-signals,signals,BenchmarkCompileWorkers/lua/p4,93682,93968,0.30528810230354697,0.8181818181818182,6,1x
compact-memory-signals,signals,BenchmarkCompileWorkers/lua/p8,96376,94180,-2.2785755789823225,0.008658008658008658,6,1x
compact-memory-signals,signals,BenchmarkCompileWorkers/esbuild/p2,146392,143434,-2.0206022187004735,0.025974025974025976,6,1x
compact-memory-signals,signals,BenchmarkCompileFull/many_funcs,47518,47588,0.14731259733153923,0.4199134199134199,6,1x
compact-memory-signals,signals,BenchmarkCompileFull/json-as,47716,47836,0.2514879704920814,0.3939393939393939,6,1x
compact-instantiate-signals,signals,BenchmarkPluginInstantiate/ruby,204122,201624,-1.223777936724113,0.006493506493506494,6,128x
compact-rss-signals,signals,BenchmarkCompileCompact,160230,159656,-0.35823503713412475,0.5887445887445888,6,1x
