run,bounds,benchmark,unit,main_median,after_median,change_percent,p,samples_each,pre_fix_median,after_vs_pre_fix_percent,benchtime
compact-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,ns/op,760146.5,509298,-33.00002039080625,0.0021645021645021645,6,504690.5,0.9129357497317692,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,code-B,57470,57470,0,1,6,57470,0,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,B/op,433653.5,437357.5,0.8541381540792425,0.0021645021645021645,6,438359.5,-0.22857951065278215,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,allocs/op,264,249,-5.681818181818176,0.0021645021645021645,6,285,-12.631578947368416,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,ns/op,618651.5,352480.5,-43.02438448787404,0.0021645021645021645,6,347780,1.3515728334004162,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,code-B,57470,57470,0,1,6,57470,0,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,B/op,551566,558108.5,1.18616811043466,0.0021645021645021645,6,558754,-0.11552490004546057,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,allocs/op,403,392,-2.7295285359801524,0.0021645021645021645,6,441,-11.111111111111116,500ms
compact-explicit,explicit,BenchmarkExec/coremark.coremark_run,ns/op,34440520,34376832,-0.18492171430628535,0.6991341991341992,6,34563777,-0.5408697087705416,500ms
compact-explicit,explicit,BenchmarkExec/coremark.coremark_run,calls/batch,1,1,0,1,6,1,0,500ms
compact-explicit,explicit,BenchmarkExec/coremark.coremark_run,B/op,0,0,0,1,6,0,NaN,500ms
compact-explicit,explicit,BenchmarkExec/coremark.coremark_run,allocs/op,0,0,0,1,6,0,NaN,500ms
compact-explicit,explicit,BenchmarkExec/coremark.coremark_run,B/call,0,0,0,1,6,0,NaN,500ms
compact-explicit,explicit,BenchmarkExec/coremark.coremark_run,allocs/call,0,0,0,1,6,0,NaN,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,ns/op,602054.5,330060,-45.17772062163807,0.0021645021645021645,6,325742.5,1.3254334328495654,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,code-B,57470,57470,0,1,6,57470,0,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,B/op,749497,758853,1.2483038624570897,0.0021645021645021645,6,759168,-0.041492792109254495,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,allocs/op,629,619,-1.5898251192368873,0.0021645021645021645,6,693,-10.678210678210675,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/lua/p4,ns/op,8786588,4389986,-50.03764828850517,0.0021645021645021645,6,4441464,-1.1590322470248604,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/lua/p4,code-B,889172,889172,0,1,6,889172,0,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/lua/p4,B/op,4397873.5,4426198,0.6440499027541291,0.0021645021645021645,6,4429153.5,-0.06672832630433279,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/lua/p4,allocs/op,1488,1470.5,-1.1760752688172005,0.0021645021645021645,6,1547.5,-4.975767366720518,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/lua/p8,ns/op,7722727,3369097.5,-56.37425096083288,0.0021645021645021645,6,3367500.5,0.04742389793259694,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/lua/p8,code-B,889172,889172,0,1,6,889172,0,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/lua/p8,B/op,5284405.5,5335225,0.9616881217764162,0.0021645021645021645,6,5336682,-0.02730160800287207,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/lua/p8,allocs/op,2214,2173,-1.851851851851849,0.0021645021645021645,6,2325,-6.537634408602155,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,ns/op,279048764,176946973,-36.589228899075145,0.0021645021645021645,6,176844416,0.057992783894289524,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,code-B,26612624,26612624,0,1,6,26612624,0,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,B/op,111987278,112910125,0.82406414057139,0.24025974025974026,6,112883339.5,0.02372847943605816,500ms
compact-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,allocs/op,14010,14639,4.489650249821553,0.30952380952380953,6,14759.5,-0.8164233205731897,500ms
compact-explicit,explicit,BenchmarkCompileFull/many_funcs,ns/op,459741,402416.5,-12.468868341087703,0.0021645021645021645,6,391560,2.772627438962094,500ms
compact-explicit,explicit,BenchmarkCompileFull/many_funcs,code-B,7817,7817,0,1,6,7817,0,500ms
compact-explicit,explicit,BenchmarkCompileFull/many_funcs,B/op,159042.5,161536.5,1.5681343037238449,0.0021645021645021645,6,161536,0.00030952852614341,500ms
compact-explicit,explicit,BenchmarkCompileFull/many_funcs,allocs/op,83,85,2.4096385542168752,0.0021645021645021645,6,85,0,500ms
compact-explicit,explicit,BenchmarkCompileFull/json-as,ns/op,1898025,1298461,-31.588835763490998,0.0021645021645021645,6,1289733.5,0.6766901844450723,500ms
compact-explicit,explicit,BenchmarkCompileFull/json-as,code-B,66366,66366,0,1,6,66366,0,500ms
compact-explicit,explicit,BenchmarkCompileFull/json-as,B/op,217463,218415,0.4377756215999895,0.0021645021645021645,6,218414,0.0004578461087589858,500ms
compact-explicit,explicit,BenchmarkCompileFull/json-as,allocs/op,405,407,0.49382716049382047,0.0021645021645021645,6,407,0,500ms
compact-explicit,explicit,BenchmarkValidate/tiny,ns/op,699.45,703.85,0.629065694474229,0.9372294372294372,6,701.45,0.3421484068714786,500ms
compact-explicit,explicit,BenchmarkValidate/tiny,B/op,1560,1560,0,1,6,1560,0,500ms
compact-explicit,explicit,BenchmarkValidate/tiny,allocs/op,11,11,0,1,6,11,0,500ms
compact-explicit,explicit,BenchmarkPluginInstantiate/ruby,ns/op,1938280,1763144.5,-9.035614049569718,0.004329004329004329,6,1859631,-5.188475563162798,500ms
compact-explicit,explicit,BenchmarkPluginInstantiate/ruby,B/op,295340,79394,-73.11776257872282,0.0021645021645021645,6,79693,-0.37518979082228343,500ms
compact-explicit,explicit,BenchmarkPluginInstantiate/ruby,allocs/op,9182.5,539.5,-94.12469371086306,0.0021645021645021645,6,549.5,-1.8198362147406777,500ms
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,ns/op,1028200,737224.5,-28.299503987551056,0.008658008658008658,6,773919,-4.741387664600561,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,code-B,57470,57470,0,1,6,57470,0,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,B/op,430168,439020,2.0578006732253407,0.008658008658008658,6,436956,0.4723587729656975,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,allocs/op,265,253,-4.528301886792452,0.0021645021645021645,6,284.5,-11.072056239015815,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,ns/op,887583.5,647885.5,-27.005684535595808,0.0021645021645021645,6,630387.5,2.7757530090618765,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,code-B,57470,57470,0,1,6,57470,0,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,B/op,557244,569372,2.1764254079003065,0.13203463203463203,6,540004,5.43847823349457,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,allocs/op,405.5,397.5,-1.9728729963008673,0.0021645021645021645,6,451,-11.862527716186255,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,ns/op,1022273.5,739438.5,-27.667253430711057,0.015151515151515152,6,637681.5,15.957339204602917,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,code-B,57470,57470,0,1,6,57470,0,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,B/op,757920,764568,0.8771374287523725,0.8181818181818182,6,764584,-0.002092641227124936,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,allocs/op,589,640,8.658743633276744,0.02813852813852814,6,698.5,-8.37508947745168,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,ns/op,8870305.5,4500172,-49.2670010068988,0.0021645021645021645,6,4388612,2.542033791093856,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,code-B,889172,889172,0,1,6,889172,0,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,B/op,4411468,4377680,-0.7659128435251072,0.9372294372294372,6,4456824,-1.7757937042162775,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,allocs/op,1507.5,1473.5,-2.255389718076284,0.08658008658008658,6,1559.5,-5.514588008977239,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p8,ns/op,8113489.5,3384633,-58.28388019729365,0.0021645021645021645,6,3292939.5,2.784548577342516,1x
compact-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p8,code-B,889172,889172,0,1,6,889172,0,1x
