bounds	benchmark	unit	main	fixed	delta_percent	p
signals	BenchmarkExecParallel/process/matmul.run	B/op	0	3		0.35064935064935066
signals	BenchmarkExecParallel/process/crc32.hashN	B/op	0	0.5		0.18181818181818182
signals	BenchmarkExecParallel/process/json-as-simd.serializeN	B/op	0	2		0.1341991341991342
signals	BenchmarkExecParallel/process/isa_i32.or	B/op	0	1		0.2748917748917749
signals	BenchmarkExecParallel/process/isa_i32.xor	B/op	0	0.5		0.4696969696969697
signals	BenchmarkExecParallel/process/isa_i32.shr_s	B/op	0	0.5		0.5454545454545454
signals	BenchmarkExecParallel/process/isa_i32.ctz	B/op	0	0.5		0.5454545454545454
signals	BenchmarkExecParallel/process/isa_i64.sub	B/op	0	1		0.4696969696969697
signals	BenchmarkExecParallel/process/isa_i64.xor	B/op	0	0.5		0.5454545454545454
signals	BenchmarkExecParallel/process/isa_i64.shr_u	B/op	0	0.5		0.42424242424242425
signals	BenchmarkExecParallel/process/isa_f32.add	B/op	0	2.5		0.07792207792207792
signals	BenchmarkExecParallel/process/isa_f64.sub	B/op	0	1.5		0.6212121212121212
signals	BenchmarkExecParallel/process/isa_ctl.br_table	B/op	0	1		0.5670995670995671
signals	BenchmarkExecParallel/process/nbody.step	B/op	1.5	15	900	0.04112554112554113
explicit	BenchmarkExecParallel/process/raytrace.render	B/op	3	16	433.3333333333333	0.35064935064935066
signals	BenchmarkExecParallel/process/isa_i32.mul	B/op	0.5	2.5	400	0.08658008658008658
signals	BenchmarkExecParallel/process/isa_f64.trunc	B/op	0.5	2	300	0.9134199134199135
signals	BenchmarkExecParallel/process/isa_f64.min	B/op	1	3.5	250	0.03463203463203463
explicit	BenchmarkExecParallel/independent/blake-as-simd.hashN	B/op	3.5	11	214.28571428571428	0.18398268398268397
explicit	BenchmarkExecParallel/independent/raytrace.render	B/op	6	18.5	208.33333333333334	0.24242424242424243
signals	BenchmarkExecParallel/process/isa_f32.nearest	B/op	1	3	200	0.1038961038961039
signals	BenchmarkExecParallel/process/isa_call.call_indirect	B/op	0.5	1.5	200	1
signals	BenchmarkExecParallel/process/blake-as-simd.hashN	B/op	5.5	15	172.72727272727272	0.22510822510822512
explicit	BenchmarkExecParallel/independent/quicksort.sortN	B/op	1.5	3.5	133.33333333333334	0.20995670995670995
signals	BenchmarkExecParallel/process/sha256.hashN	B/op	1	2	100	0.4069264069264069
signals	BenchmarkExecParallel/process/json-as.serializeN	B/op	0.5	1	100	0.6883116883116883
signals	BenchmarkExecParallel/process/isa_f64.mul	B/op	2	4	100	0.22943722943722944
signals	BenchmarkExecParallel/process/isa_f64.max	B/op	0.5	1	100	0.7186147186147186
signals	BenchmarkExecParallel/process/raytrace.render	B/op	7.5	12.5	66.66666666666667	0.16666666666666666
signals	BenchmarkExecParallel/process/sieve.count	B/op	3.5	5.5	57.14285714285714	0.24675324675324675
signals	BenchmarkExecParallel/process/json-as.deserializeN	B/op	2	3	50	0.5887445887445888
signals	BenchmarkExecParallel/process/isa_i32.rem_s	B/op	9	13.5	50	0.29004329004329005
explicit	BenchmarkExecParallel/independent/blake-as.hashN	B/op	15	21	39.99999999999999	0.9826839826839827
signals	BenchmarkExecParallel/process/isa_i32.div_u	B/op	9	11.5	27.777777777777768	0.7316017316017316
signals	BenchmarkExecParallel/process/isa_cvt.f64_convert_s	B/op	2	2.5	25	0.7077922077922078
explicit	BenchmarkExecParallel/independent/matmul.run	B/op	4.5	5.5	22.222222222222232	0.7272727272727273
signals	BenchmarkExecParallel/process/isa_i32.div_s	B/op	9	11	22.222222222222232	0.4134199134199134
signals	BenchmarkExecParallel/process/isa_cvt.promote_demote	B/op	4.5	5.5	22.222222222222232	0.6212121212121212
signals	BenchmarkExecParallel/process/isa_f32.sqrt	B/op	6.5	7.5	15.384615384615374	0.9718614718614719
signals	BenchmarkExecParallel/process/isa_cvt.reinterpret_f32	B/op	3.5	4	14.28571428571428	0.577922077922078
signals	BenchmarkExecParallel/process/isa_cvt.f32_convert_s	B/op	4.5	5	11.111111111111116	0.7402597402597403
explicit	BenchmarkCompileWorkers/json-as/p4	allocs/op	401	441	9.975062344139651	0.0021645021645021645
explicit	BenchmarkCompileWorkers/json-as/p8	allocs/op	627	689.5	9.968102073365227	0.0021645021645021645
signals	BenchmarkCompileWorkers/json-as/p8	allocs/op	629	690.5	9.77742448330683	0.0021645021645021645
signals	BenchmarkCompileWorkers/json-as/p4	allocs/op	402	441	9.701492537313428	0.0021645021645021645
explicit	BenchmarkCompileWorkers/esbuild/p8	allocs/op	24481	26761.5	9.315387443323386	0.008658008658008658
explicit	BenchmarkCompileWorkers/json-as/p2	allocs/op	263	284	7.984790874524705	0.0021645021645021645
signals	BenchmarkCompileWorkers/json-as/p2	allocs/op	264	284	7.575757575757569	0.0021645021645021645
signals	BenchmarkCompileWorkers/esbuild/p4	allocs/op	18792	20147.5	7.2131758194976525	0.41774891774891776
signals	BenchmarkCompileFullWorkers/json-as/p8	allocs/op	912	977.5	7.182017543859653	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/json-as/p8	allocs/op	966.5	1032	6.777030522503891	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/json-as/p4	allocs/op	677.5	720	6.27306273062731	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/json-as/auto	allocs/op	678	720	6.194690265486735	0.0021645021645021645
signals	BenchmarkCompileWorkers/esbuild/p8	allocs/op	25106.5	26632	6.0761157469181315	0.06493506493506493
explicit	BenchmarkCompileFullWorkers/json-as/p4	allocs/op	704	746.5	6.036931818181812	0.0021645021645021645
explicit	BenchmarkValidateWorkers/ruby/p2	B/op	409488	434076	6.00457156253662	0.11688311688311688
explicit	BenchmarkCompileFullWorkers/json-as/auto	allocs/op	704	746	5.965909090909083	0.0021645021645021645
