variant,run,bounds,benchmark,unit,main_median,prior_pr_median,after_median,change_vs_main_percent,p_vs_main,change_vs_prior_percent,p_vs_prior,samples_each,benchtime,note
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,ns/op,973312.5,760109.5,939238.5,-3.500828356771335,0.48484848484848486,23.566209868446574,0.09307359307359307,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,code-B,57638,57638,57638,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,B/op,431192,433624,431936,0.17254494517524588,0.3939393939393939,-0.3892773462723431,0.24025974025974026,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,allocs/op,260,247.5,242.5,-6.730769230769229,0.0021645021645021645,-2.020202020202022,0.010822510822510822,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,ns/op,847137,611667,733960.5,-13.359881577596067,0.06493506493506493,19.993476842791914,0.0021645021645021645,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,code-B,57638,57638,57638,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,B/op,562156,567784,561072,-0.1928290367798291,0.8181818181818182,-1.1821396869232004,0.30952380952380953,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,allocs/op,403.5,399,380.5,-5.700123915737299,0.0021645021645021645,-4.636591478696738,0.0021645021645021645,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,ns/op,823828,725409.5,753351.5,-8.554759003092883,0.13203463203463203,3.8518933099166652,0.17965367965367965,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,code-B,57638,57638,57638,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,B/op,756168,778676,752820,-0.44275875202336445,0.9372294372294372,-3.3205081445941587,0.30952380952380953,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,allocs/op,560.5,603.5,508.5,-9.277430865298841,0.09956709956709957,-15.741507870753935,0.004329004329004329,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileFullWorkers/json-as/p8,ns/op,1769950,1149747,1328926.5,-24.917285799033873,0.0021645021645021645,15.584254622973571,0.09307359307359307,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileFullWorkers/json-as/p8,code-B,66502,66502,66502,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileFullWorkers/json-as/p8,B/op,882000,915772,886336,0.4916099773242699,0.9372294372294372,-3.2143371931004694,0.09307359307359307,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileFullWorkers/json-as/p8,allocs/op,985,996,950.5,-3.502538071065986,0.008658008658008658,-4.568273092369479,0.06493506493506493,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/lua/p4,ns/op,7757181.5,4200875,4463930,-42.45422773722647,0.0021645021645021645,6.2619097211890296,0.008658008658008658,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/lua/p4,code-B,890004,890004,890004,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/lua/p4,B/op,4396244,4452268,4475852,1.8108185077989392,0.13203463203463203,0.5297075557895381,0.3939393939393939,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/lua/p4,allocs/op,1502,1490.5,1488,-0.9320905459387463,0.19913419913419914,-0.16772895001677668,0.6991341991341992,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/lua/p8,ns/op,6615429,3271324.5,3309631,-49.971029845532314,0.0021645021645021645,1.1709782994624884,0.5887445887445888,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/lua/p8,code-B,890004,890004,890004,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/lua/p8,B/op,5203232,5405176,5267372,1.2326953708771793,0.3939393939393939,-2.5494822000245665,0.24025974025974026,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/lua/p8,allocs/op,2243.5,2203.5,2196,-2.1172275462447043,0.0021645021645021645,-0.3403675970047648,0.2597402597402597,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/esbuild/p4,ns/op,176357637.5,93728426,94300227,-46.528980351077784,0.0021645021645021645,0.6100614556356687,0.48484848484848486,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/esbuild/p4,code-B,26622496,26622496,26622496,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/esbuild/p4,B/op,120616700,122217776,122377304,1.459668520196633,0.3939393939393939,0.1305276574497638,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/esbuild/p4,allocs/op,20419,19960.5,20049,-1.812037807923994,0.9372294372294372,0.443375666942214,0.8181818181818182,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p8,ns/op,21980220,9292119.5,9744289,-55.66791870145067,0.0021645021645021645,4.866161051846141,0.17965367965367965,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p8,code-B,3636329,3636329,3636329,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p8,B/op,16305776,16326396,16546444,1.4759677797609783,0.3939393939393939,1.3478051126531554,0.48484848484848486,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p8,allocs/op,4536.5,4545,4561,0.5400639259340867,0.3939393939393939,0.3520352035203622,0.12554112554112554,6,1x,"memory check, not a timing claim"
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,ns/op,649504,491855,514729,-20.750449573828643,0.0021645021645021645,4.650557583027526,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,code-B,57638,57638,57638,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,B/op,433608,437397.5,433590.5,-0.0040359033966153035,1,-0.8703753450808427,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p2,allocs/op,264,249,241,-8.712121212121215,0.0021645021645021645,-3.2128514056224855,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,ns/op,504461.5,336220.5,385151.5,-23.65096246195201,0.0021645021645021645,14.553247050670626,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,code-B,57638,57638,57638,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,B/op,552016,558771,551693,-0.05851279673052545,0.8181818181818182,-1.266708544287376,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,allocs/op,402,392,375,-6.716417910447758,0.0021645021645021645,-4.336734693877553,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,ns/op,466540,299055.5,348785,-25.24006516054358,0.0021645021645021645,16.628853172738832,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,code-B,57638,57638,57638,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,B/op,748546,756630,747374.5,-0.15650340794018947,0.3939393939393939,-1.223253109181499,0.0021645021645021645,6,500ms,rejected serial-gate experiment
