benchmark	base_bytes	candidate_bytes	delta_bytes	delta_percent
BenchmarkCompileFull/tiny	128	128	0	0
BenchmarkCompileFull/fib_iter	128	128	0	0
BenchmarkCompileFull/fib_rec	220	220	0	0
BenchmarkCompileFull/arith	152	152	0	0
BenchmarkCompileFull/float	152	152	0	0
BenchmarkCompileFull/memory	404	404	0	0
BenchmarkCompileFull/memory_tree	628	628	0	0
BenchmarkCompileFull/globals	220	220	0	0
BenchmarkCompileFull/dispatch	972	924	-48	-4.938271604938271
BenchmarkCompileFull/branches	132	132	0	0
BenchmarkCompileFull/many_funcs	9720	9720	0	0
BenchmarkCompileFull/linked_list	364	364	0	0
BenchmarkCompileFull/mandelbrot	412	412	0	0
BenchmarkCompileFull/sieve	400	400	0	0
BenchmarkCompileFull/nbody	4020	3976	-44	-1.0945273631840835
BenchmarkCompileFull/spectralnorm	2764	2700	-64	-2.315484804630974
BenchmarkCompileFull/fannkuch	5144	5048	-96	-1.8662519440124425
BenchmarkCompileFull/matmul	2396	2364	-32	-1.3355592654423987
BenchmarkCompileFull/quicksort	2460	2412	-48	-1.9512195121951237
BenchmarkCompileFull/crc32	1696	1652	-44	-2.594339622641506
BenchmarkCompileFull/sha256	3768	3704	-64	-1.698513800424628
BenchmarkCompileFull/raytrace	11016	11016	0	0
BenchmarkCompileFull/regexmatch	3090824	2987984	-102840	-3.3272680683209432
BenchmarkCompileFull/wasm3	939832	873176	-66656	-7.092331395398322
BenchmarkCompileFull/json-as	72648	71048	-1600	-2.2024006166721732
BenchmarkCompileFull/blake-as	11056	10992	-64	-0.5788712011577379
BenchmarkCompileFull/utf-as	4380	4376	-4	-0.09132420091324533
BenchmarkCompileFull/xjb-mulhi	480	480	0	0
BenchmarkCompileFull/swar-pack-parse	580	580	0	0
BenchmarkCompileFull/json-as-simd	85672	83384	-2288	-2.670650854421519
BenchmarkCompileFull/blake-as-simd	31304	31056	-248	-0.7922310247891695
BenchmarkCompileFull/utf-as-simd	21356	21044	-312	-1.4609477430230333
BenchmarkCompileFull/coremark	28236	20020	-8216	-29.097605893186007
BenchmarkCompileFull/blake3	31156	31028	-128	-0.41083579406855364
BenchmarkCompileFull/qoi	7500	6864	-636	-8.479999999999999
BenchmarkCompileFull/lz4	6740	6644	-96	-1.4243323442136524
BenchmarkCompileFull/zlib	42720	41604	-1116	-2.6123595505617936
BenchmarkCompileFull/zstd	191736	187720	-4016	-2.0945466683356284
BenchmarkCompileFull/lua	953212	915100	-38112	-3.9982711086306133
BenchmarkCompileFull/sqlite3	3746864	3539664	-207200	-5.529957852753665
BenchmarkCompileFull/ruby	37600848	36201472	-1399376	-3.721660745523614
BenchmarkCompileFull/esbuild	30906196	28501376	-2404820	-7.781028761999698
BenchmarkCompileFull/isa_i32	11236	11236	0	0
BenchmarkCompileFull/isa_i64	11236	11236	0	0
BenchmarkCompileFull/isa_f32	7368	7368	0	0
BenchmarkCompileFull/isa_f64	7112	7112	0	0
BenchmarkCompileFull/isa_mem	4984	4984	0	0
BenchmarkCompileFull/isa_bulk_mem	5752	5684	-68	-1.182197496522952
BenchmarkCompileFull/isa_ctl	3620	3620	0	0
BenchmarkCompileFull/isa_call	1904	1904	0	0
BenchmarkCompileFull/isa_var	576	576	0	0
BenchmarkCompileFull/isa_cvt	5300	5300	0	0
BenchmarkCompileFull/isa_simd_v128	3740	3740	0	0
BenchmarkCompileFull/isa_simd_i8x16	16860	16860	0	0
BenchmarkCompileFull/isa_simd_i16x8	21500	21500	0	0
BenchmarkCompileFull/isa_simd_i32x4	20108	20108	0	0
BenchmarkCompileFull/isa_simd_i64x2	13532	13532	0	0
BenchmarkCompileFull/isa_simd_f32x4	12284	12284	0	0
BenchmarkCompileFull/isa_simd_f64x2	12540	12540	0	0
BenchmarkCompileFull/isa_simd_reduce	11636	11636	0	0
