goos: linux
goarch: amd64
pkg: wagobench
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
                                                                 │ /tmp/wago-pr564-HbN430/base-explicit.txt │ /tmp/wago-pr564-HbN430/candidate-explicit.txt │
                                                                 │                  sec/op                  │         sec/op          vs base               │
Compile/tiny-8                                                                                13.87µ ±  30%            14.09µ ±  24%        ~ (p=1.000 n=6)
Compile/fib_iter-8                                                                            17.39µ ±  39%            18.04µ ±  22%        ~ (p=0.937 n=6)
Compile/fib_rec-8                                                                             18.64µ ±  15%            17.78µ ±  13%        ~ (p=1.000 n=6)
Compile/arith-8                                                                               21.89µ ±  18%            18.23µ ±  16%  -16.73% (p=0.026 n=6)
Compile/float-8                                                                               21.63µ ±  14%            18.53µ ±  34%        ~ (p=0.132 n=6)
Compile/memory-8                                                                              19.54µ ±  20%            20.60µ ±  11%        ~ (p=0.818 n=6)
Compile/memory_tree-8                                                                         31.54µ ±  17%            29.48µ ±  13%        ~ (p=0.240 n=6)
Compile/globals-8                                                                             19.00µ ±  13%            18.21µ ±  35%        ~ (p=0.818 n=6)
Compile/dispatch-8                                                                            28.70µ ±  52%            33.69µ ±  24%        ~ (p=0.394 n=6)
Compile/branches-8                                                                            16.87µ ±  24%            18.13µ ±  20%        ~ (p=0.485 n=6)
Compile/many_funcs-8                                                                          469.6µ ±  72%            414.1µ ±  21%        ~ (p=0.485 n=6)
Compile/linked_list-8                                                                         23.32µ ± 103%            27.83µ ±  21%        ~ (p=0.589 n=6)
Compile/mandelbrot-8                                                                          28.77µ ±  65%            37.06µ ±  30%        ~ (p=0.394 n=6)
Compile/sieve-8                                                                               25.39µ ±  15%            28.47µ ±  38%        ~ (p=0.310 n=6)
Compile/nbody-8                                                                               111.4µ ±  53%            107.9µ ±  46%        ~ (p=0.699 n=6)
Compile/spectralnorm-8                                                                        91.19µ ±  18%            88.93µ ±  22%        ~ (p=0.485 n=6)
Compile/fannkuch-8                                                                            121.3µ ±  79%            119.3µ ±  31%        ~ (p=0.394 n=6)
Compile/matmul-8                                                                              78.45µ ±  15%            74.35µ ±  21%        ~ (p=0.699 n=6)
Compile/quicksort-8                                                                           63.90µ ±  22%            67.29µ ±  20%        ~ (p=0.699 n=6)
Compile/crc32-8                                                                               42.28µ ±  20%            40.83µ ±  19%        ~ (p=0.485 n=6)
Compile/sha256-8                                                                              91.26µ ±   4%            86.07µ ±  11%        ~ (p=0.240 n=6)
Compile/raytrace-8                                                                            276.8µ ±  27%            212.4µ ±  28%  -23.25% (p=0.026 n=6)
Compile/regexmatch-8                                                                          58.37m ±  75%            40.46m ±  32%  -30.68% (p=0.009 n=6)
Compile/wasm3-8                                                                               15.76m ±  22%            13.09m ±  23%  -17.00% (p=0.015 n=6)
Compile/json-as-8                                                                             1.312m ±  39%            1.152m ±  18%  -12.17% (p=0.041 n=6)
Compile/blake-as-8                                                                            389.1µ ±  14%            307.9µ ±  40%        ~ (p=0.093 n=6)
Compile/utf-as-8                                                                              173.5µ ±  16%            153.0µ ±  18%  -11.78% (p=0.026 n=6)
Compile/xjb-mulhi-8                                                                           28.71µ ±  20%            24.75µ ±  19%  -13.80% (p=0.041 n=6)
Compile/swar-pack-parse-8                                                                     31.90µ ±  26%            28.05µ ±  18%        ~ (p=0.180 n=6)
Compile/json-as-simd-8                                                                        1.624m ±  17%            1.469m ±  91%        ~ (p=0.310 n=6)
Compile/blake-as-simd-8                                                                      1251.8µ ±  24%            988.8µ ±  51%        ~ (p=0.310 n=6)
Compile/utf-as-simd-8                                                                         566.4µ ±  22%            457.5µ ±  48%        ~ (p=0.093 n=6)
Compile/coremark-8                                                                            699.4µ ±  50%            598.6µ ±  28%  -14.41% (p=0.041 n=6)
Compile/blake3-8                                                                             1084.1µ ±  77%            798.3µ ±  44%  -26.36% (p=0.026 n=6)
Compile/qoi-8                                                                                 209.4µ ±  17%            190.9µ ±  33%        ~ (p=0.310 n=6)
Compile/lz4-8                                                                                 169.2µ ±  28%            164.3µ ±  68%        ~ (p=0.589 n=6)
Compile/zlib-8                                                                                1.129m ±  29%            1.010m ±  36%        ~ (p=0.093 n=6)
Compile/zstd-8                                                                                4.639m ±  23%            3.619m ±  42%        ~ (p=0.065 n=6)
Compile/lua-8                                                                                 23.30m ±  22%            18.63m ±  13%  -20.06% (p=0.009 n=6)
Compile/sqlite3-8                                                                             81.72m ±  40%            71.43m ±  13%  -12.60% (p=0.015 n=6)
Compile/ruby-8                                                                               1006.5m ±  14%            779.5m ±  18%  -22.55% (p=0.009 n=6)
Compile/esbuild-8                                                                             570.0m ±   5%            522.0m ±  12%   -8.42% (p=0.015 n=6)
Compile/isa_i32-8                                                                             269.1µ ±  22%            209.5µ ±  11%  -22.16% (p=0.002 n=6)
Compile/isa_i64-8                                                                             300.4µ ±  40%            205.6µ ±  16%  -31.56% (p=0.002 n=6)
Compile/isa_f32-8                                                                             236.1µ ±  30%            130.2µ ±  19%  -44.86% (p=0.002 n=6)
Compile/isa_f64-8                                                                             202.7µ ±  33%            136.2µ ±  63%        ~ (p=0.065 n=6)
Compile/isa_mem-8                                                                             150.3µ ±  32%            114.7µ ±  39%        ~ (p=0.065 n=6)
Compile/isa_bulk_mem-8                                                                        45.11µ ±  28%            54.16µ ±  26%        ~ (p=0.132 n=6)
Compile/isa_ctl-8                                                                             136.2µ ±  36%            123.7µ ±  28%        ~ (p=0.394 n=6)
Compile/isa_call-8                                                                            58.19µ ±  12%            49.54µ ±  30%  -14.87% (p=0.026 n=6)
Compile/isa_var-8                                                                             47.65µ ±  22%            35.91µ ±  15%  -24.63% (p=0.009 n=6)
Compile/isa_cvt-8                                                                            111.15µ ±  26%            87.94µ ±  20%  -20.88% (p=0.026 n=6)
Compile/isa_simd_v128-8                                                                      103.51µ ±  12%            95.38µ ±  22%        ~ (p=0.093 n=6)
Compile/isa_simd_i8x16-8                                                                      383.7µ ±  13%            354.9µ ±  26%        ~ (p=0.310 n=6)
Compile/isa_simd_i16x8-8                                                                      496.0µ ±  54%            486.4µ ±  18%        ~ (p=0.589 n=6)
