bounds	benchmark	unit	base_median	candidate_median	delta_percent	p	base_n	candidate_n	status
explicit	BenchmarkCompile/tiny	ns/op	13865.5	14092.5	1.6371569723414137	1	6	6	paired
explicit	BenchmarkCompile/tiny	B/op	8013.5	8022.5	0.11231047607163092	0.5692640692640693	6	6	paired
explicit	BenchmarkCompile/tiny	allocs/op	20	20	0	1	6	6	paired
explicit	BenchmarkCompile/fib_iter	ns/op	17391	18044	3.754815709274917	0.9372294372294372	6	6	paired
explicit	BenchmarkCompile/fib_iter	B/op	10714	10723.5	0.08866903117417113	0.9372294372294372	6	6	paired
explicit	BenchmarkCompile/fib_iter	allocs/op	23	23	0	1	6	6	paired
explicit	BenchmarkCompile/fib_rec	ns/op	18642.5	17780.5	-4.623843368646908	1	6	6	paired
explicit	BenchmarkCompile/fib_rec	B/op	10689.5	10264.5	-3.975864165770149	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/fib_rec	allocs/op	32	32	0	1	6	6	paired
explicit	BenchmarkCompile/arith	ns/op	21893	18231	-16.726807655414976	0.025974025974025976	6	6	paired
explicit	BenchmarkCompile/arith	B/op	25228.5	10934.5	-56.658144558733184	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/arith	allocs/op	22	22	0	1	6	6	paired
explicit	BenchmarkCompile/float	ns/op	21633.5	18534.5	-14.325005200268103	0.13203463203463203	6	6	paired
explicit	BenchmarkCompile/float	B/op	25008	10928	-56.301983365323096	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/float	allocs/op	27	27	0	1	6	6	paired
explicit	BenchmarkCompile/memory	ns/op	19543	20603.5	5.426495420355115	0.8181818181818182	6	6	paired
explicit	BenchmarkCompile/memory	B/op	10968	10712	-2.334062727935815	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/memory	allocs/op	28	28	0	1	6	6	paired
explicit	BenchmarkCompile/memory_tree	ns/op	31537	29476.5	-6.533595459301777	0.24025974025974026	6	6	paired
explicit	BenchmarkCompile/memory_tree	B/op	25853	15600	-39.65884036668859	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/memory_tree	allocs/op	46	46	0	1	6	6	paired
explicit	BenchmarkCompile/globals	ns/op	19002.5	18208	-4.181028811998422	0.8181818181818182	6	6	paired
explicit	BenchmarkCompile/globals	B/op	10673	10477.5	-1.8317249133327107	0.24025974025974026	6	6	paired
explicit	BenchmarkCompile/globals	allocs/op	31	30	-3.2258064516129004	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/dispatch	ns/op	28697	33690	17.399031257622745	0.3939393939393939	6	6	paired
explicit	BenchmarkCompile/dispatch	B/op	24632	24288	-1.3965573238064355	0.006493506493506494	6	6	paired
explicit	BenchmarkCompile/dispatch	allocs/op	40	40	0	1	6	6	paired
explicit	BenchmarkCompile/branches	ns/op	16869.5	18126.5	7.451317466433505	0.48484848484848486	6	6	paired
explicit	BenchmarkCompile/branches	B/op	10632	9992	-6.01956358164033	0.012987012987012988	6	6	paired
explicit	BenchmarkCompile/branches	allocs/op	20	20	0	1	6	6	paired
explicit	BenchmarkCompile/many_funcs	ns/op	469628.5	414115.5	-11.820619915528974	0.48484848484848486	6	6	paired
explicit	BenchmarkCompile/many_funcs	B/op	68224	67968	-0.37523452157598447	0.015151515151515152	6	6	paired
explicit	BenchmarkCompile/many_funcs	allocs/op	33	33	0	1	6	6	paired
explicit	BenchmarkCompile/linked_list	ns/op	23323	27830.5	19.32641598422158	0.5887445887445888	6	6	paired
explicit	BenchmarkCompile/linked_list	B/op	14200	13688	-3.605633802816899	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/linked_list	allocs/op	33	33	0	1	6	6	paired
explicit	BenchmarkCompile/mandelbrot	ns/op	28769	37055.5	28.80357329069485	0.3939393939393939	6	6	paired
explicit	BenchmarkCompile/mandelbrot	B/op	26312	20808	-20.91821222256005	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/mandelbrot	allocs/op	39	39	0	1	6	6	paired
