source	line	section	commit	categories	table_header	claim
pr-description.md	1			method-or-checkpoint		Fresh branch replacing #563, rebased onto current `main`. The patch stack is range-diff equivalent to the original branch.
pr-description.md	5	## Outcome		time,code-or-storage-size		Cuts Railshot compilation latency without changing generated native code.
pr-description.md	7	## Outcome			| Measurement | ARM64 | AMD64 |	| Measurement | ARM64 | AMD64 |
pr-description.md	9	## Outcome		time	| Measurement | ARM64 | AMD64 |	| Backend compile geomean | **-20.36%** | **-16.32%** |
pr-description.md	10	## Outcome		time,code-or-storage-size	| Measurement | ARM64 | AMD64 |	| Public decode+validate+compile geomean | **-24.83%** | **-26.37%** |
pr-description.md	11	## Outcome		memory	| Measurement | ARM64 | AMD64 |	| Backend heap geomean | +0.53% | +1.07% |
pr-description.md	12	## Outcome		memory	| Measurement | ARM64 | AMD64 |	| Public-pipeline heap geomean | +1.26% | +1.85% |
pr-description.md	13	## Outcome		code-or-storage-size	| Measurement | ARM64 | AMD64 |	| Generated native code | **0.00%** | **0.00%** |
pr-description.md	14	## Outcome		time	| Measurement | ARM64 | AMD64 |	| Execution geomean | +0.17% | -1.90% |
pr-description.md	16	## Outcome		time,code-or-storage-size		The execution directions differ despite byte-identical generated code, so those
pr-description.md	17	## Outcome		code-or-storage-size		sub-2% aggregate movements are measurement drift rather than a codegen change.
pr-description.md	19	## Outcome		method-or-checkpoint		Base: `c46f2129edb52e6f30f4d0bfc5ae105cfde0c84d`
pr-description.md	21	## Outcome		method-or-checkpoint		Head: `b467c044`
pr-description.md	28	## What changed				- Scan large modules' function hints in parallel with deterministic lowest-index errors and exact serial/parallel parity.
pr-description.md	29	## What changed		memory		- Cache import-resolved memory/global types for modules with at least 16 KiB of function bodies; tiny modules keep direct lookups.
pr-description.md	30	## What changed				- Fuse AMD64 inline-caller admission into one body walk and fast-path its common immediates.
pr-description.md	36	## Backend compilation: every worker corpus row		method-or-checkpoint		Eight paired samples per ARM64 row and six paired samples per AMD64 row. `~`
pr-description.md	38	## Backend compilation: every worker corpus row		time		included for completeness; follow-up 200 ms runs found tiny/fib serial latency
pr-description.md	43	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| tiny/p1 | 75.1 us | 74.5 us | ~ | 70.1 us | 84.8 us | noisy |
pr-description.md	44	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| tiny/p4 | 43.3 us | 42.2 us | ~ | 60.9 us | 57.2 us | ~ |
pr-description.md	45	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| tiny/p8 | 30.7 us | 28.6 us | ~ | 46.8 us | 46.6 us | ~ |
pr-description.md	46	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| fib_rec/p1 | 38.8 us | 31.4 us | -18.91% | 35.6 us | 36.5 us | ~ |
pr-description.md	47	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| fib_rec/p4 | 25.8 us | 27.1 us | ~ | 33.4 us | 30.6 us | ~ |
pr-description.md	48	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| fib_rec/p8 | 20.5 us | 19.5 us | ~ | 29.8 us | 33.5 us | ~ |
pr-description.md	49	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| many_funcs/p1 | 213.3 us | 229.4 us | ~ | 332.9 us | 335.6 us | ~ |
pr-description.md	50	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| many_funcs/p4 | 180.4 us | 170.0 us | -5.75% | 221.9 us | 217.5 us | ~ |
pr-description.md	51	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| many_funcs/p8 | 196.4 us | 174.5 us | ~ | 212.2 us | 213.4 us | ~ |
