profile	rank	bytes	type	symbol
manager	1	262864	D	runtime.trace
manager	2	92856	D	runtime.mheap_
manager	3	32768	D	github.com/wago-org/wago/src/core/runtime.interruptLinearMemories
manager	4	23420	T	github.com/wago-org/wago/src/core/compiler/wasm.(*funcValidator).step
manager	5	21782	T	vendor/golang.org/x/crypto/chacha20poly1305.chacha20Poly1305Seal.abi0
manager	6	19426	D	vendor/golang.org/x/text/unicode/norm.decomps
manager	7	19426	T	vendor/golang.org/x/crypto/chacha20poly1305.chacha20Poly1305Open.abi0
manager	8	18728	r	runtime.findfunctab
manager	9	17280	D	vendor/golang.org/x/net/idna.idnaValues
manager	10	16576	D	vendor/golang.org/x/text/unicode/bidi.bidiValues
manager	11	16133	T	crypto/sha512.blockAMD64.abi0
manager	12	16064	D	runtime.semtable
manager	13	15335	T	crypto/sha256.block.abi0
manager	14	14053	T	github.com/wago-org/wago/src/core/compiler/wasm.(*funcValidator).decodeDirectOp
manager	15	12416	D	vendor/golang.org/x/text/unicode/norm.nfkcValues
manager	16	12012	T	crypto/tls.(*Conn).readRecordOrCCS
manager	17	11263	T	time.parse
manager	18	11136	D	strconv.detailedPowersOfTen
manager	19	10768	T	unicode.map.init.1
manager	20	9918	T	encoding/asn1.parseField
manager	21	9605	T	github.com/wago-org/wago/cli/manager.commandEnvironment.Configure
manager	22	9498	T	crypto/tls.(*clientHelloMsg).marshal
manager	23	9485	T	github.com/wago-org/wago/cli/manager/internal/plugin.bindContracts
manager	24	9466	T	github.com/wago-org/wago/src/core/compiler/wasm.(*funcValidator).stepGC
manager	25	9374	T	crypto/internal/nistec/fiat.p521Mul
runtime-standard	1	262864	D	runtime.trace
runtime-standard	2	92856	D	runtime.mheap_
runtime-standard	3	65536	D	github.com/wago-org/wago/src/core/runtime.executableCodeRanges
runtime-standard	4	48175	T	github.com/wago-org/wago/src/wago.compileWithFrontendFeaturesAndInstructions
runtime-standard	5	45658	T	github.com/wago-org/wago/src/wago.(*instanceBuilder).instantiate
runtime-standard	6	32768	D	github.com/wago-org/wago/src/core/runtime.interruptLinearMemories
runtime-standard	7	23420	T	github.com/wago-org/wago/src/core/compiler/wasm.(*funcValidator).step
runtime-standard	8	20980	T	github.com/wago-org/wago/src/wago.(*Instance).dispatchGCArrayHelperParked
runtime-standard	9	19339	r	runtime.findfunctab
runtime-standard	10	17782	T	github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.compileModuleWith
runtime-standard	11	17352	T	github.com/wago-org/wago/src/wago.validateImmutablePlan
runtime-standard	12	16064	D	runtime.semtable
runtime-standard	13	15852	T	github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.compileFuncAttempt
runtime-standard	14	15535	T	github.com/wago-org/wago/src/wago.(*Compiled).validate
runtime-standard	15	15335	T	crypto/sha256.block.abi0
runtime-standard	16	14053	T	github.com/wago-org/wago/src/core/compiler/wasm.(*funcValidator).decodeDirectOp
runtime-standard	17	13557	T	github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).emitFD
runtime-standard	18	12922	T	github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).emitGCArray
runtime-standard	19	12805	T	github.com/wago-org/wago/src/wago.(*Instance).dispatchGCStructHelperParked
runtime-standard	20	12727	T	github.com/wago-org/wago/src/core/compiler/frontend.supportPass.instrByte
runtime-standard	21	11263	T	time.parse
runtime-standard	22	11136	D	strconv.detailedPowersOfTen
runtime-standard	23	11045	T	github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.compileModuleParallel
runtime-standard	24	10768	T	unicode.map.init.1
runtime-standard	25	10701	T	github.com/wago-org/wago/src/wago.gcFrameLocalLivenessArenaWithClassifier
runtime-minimal	1	262864	D	runtime.trace
runtime-minimal	2	92856	D	runtime.mheap_
runtime-minimal	3	65536	D	github.com/wago-org/wago/src/core/runtime.executableCodeRanges
runtime-minimal	4	48175	T	github.com/wago-org/wago/src/wago.compileWithFrontendFeaturesAndInstructions
runtime-minimal	5	45658	T	github.com/wago-org/wago/src/wago.(*instanceBuilder).instantiate
runtime-minimal	6	32768	D	github.com/wago-org/wago/src/core/runtime.interruptLinearMemories
runtime-minimal	7	23420	T	github.com/wago-org/wago/src/core/compiler/wasm.(*funcValidator).step
runtime-minimal	8	20980	T	github.com/wago-org/wago/src/wago.(*Instance).dispatchGCArrayHelperParked
runtime-minimal	9	18496	r	runtime.findfunctab
runtime-minimal	10	17782	T	github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.compileModuleWith
runtime-minimal	11	16064	D	runtime.semtable
runtime-minimal	12	15852	T	github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.compileFuncAttempt
runtime-minimal	13	15535	T	github.com/wago-org/wago/src/wago.(*Compiled).validate
runtime-minimal	14	15335	T	crypto/sha256.block.abi0
runtime-minimal	15	14053	T	github.com/wago-org/wago/src/core/compiler/wasm.(*funcValidator).decodeDirectOp
runtime-minimal	16	13557	T	github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).emitFD
runtime-minimal	17	12922	T	github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).emitGCArray
runtime-minimal	18	12805	T	github.com/wago-org/wago/src/wago.(*Instance).dispatchGCStructHelperParked
runtime-minimal	19	12727	T	github.com/wago-org/wago/src/core/compiler/frontend.supportPass.instrByte
runtime-minimal	20	11263	T	time.parse
runtime-minimal	21	11136	D	strconv.detailedPowersOfTen
runtime-minimal	22	11045	T	github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.compileModuleParallel
runtime-minimal	23	10768	T	unicode.map.init.1
runtime-minimal	24	10701	T	github.com/wago-org/wago/src/wago.gcFrameLocalLivenessArenaWithClassifier
runtime-minimal	25	10350	T	github.com/wago-org/wago/src/wago.evalCompiledGCConstExpr
