# draglinecompare raw v1
# target native
# rounds 6
# benchtime 500ms
# filter .*
# tiered false
# benchmark_sha256 4b10e673404f06328b563c34518c9fea485c9718c5c9839cf8b7119b7563553e
# round 1 railshot-first
goos: darwin
goarch: arm64
pkg: wagobench
cpu: Apple M4 Max
BenchmarkRailshotDraglineISAExec/isa_i32.add/railshot-16         	   36624	     14581 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.add/dragline-16         	  225046	      2662 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.sub/railshot-16         	   41181	     14588 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.sub/dragline-16         	  225118	      2661 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.mul/railshot-16         	   13716	     43732 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.mul/dragline-16         	  109575	      5473 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.and/railshot-16         	   41166	     14579 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.and/dragline-16         	  648747	       919.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.or/railshot-16          	   41163	     14571 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.or/dragline-16          	  652436	       921.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.xor/railshot-16         	   41144	     14591 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.xor/dragline-16         	  827618	       722.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.shl/railshot-16         	   41146	     14598 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.shl/dragline-16         	  318860	      1870 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.shr_s/railshot-16       	   41122	     14599 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.shr_s/dragline-16       	  323426	      1856 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.shr_u/railshot-16       	   41115	     14598 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.shr_u/dragline-16       	  324099	      1856 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.rotl/railshot-16        	   20541	     29262 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.rotl/dragline-16        	21071546	        29.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.rotr/railshot-16        	   41083	     14607 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.rotr/dragline-16        	21070466	        28.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.div_s/railshot-16       	    4554	    131295 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.div_s/dragline-16       	   36615	     16397 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.div_u/railshot-16       	    4563	    131155 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.div_u/dragline-16       	   36613	     16411 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.rem_s/railshot-16       	    3156	    189717 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.rem_s/dragline-16       	   25255	     23773 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.rem_u/railshot-16       	    3163	    189461 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.rem_u/dragline-16       	   25015	     23763 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.clz/railshot-16         	   40366	     14863 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i32.clz/dragline-16         	  290377	      2066 ns/op	       0 B/op	       0 allocs/op
