# sample 1
init internal/bytealg @0.004 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/runtime/gc/scan @0.020 ms, 0 ms clock, 0 bytes, 0 allocs
init runtime @0.030 ms, 0.041 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140deps/cpu @0.25 ms, 0.003 ms clock, 0 bytes, 0 allocs
init math @0.26 ms, 0.003 ms clock, 0 bytes, 0 allocs
init errors @0.27 ms, 0 ms clock, 0 bytes, 0 allocs
init iter @0.28 ms, 0.005 ms clock, 16 bytes, 1 allocs
init sync @0.29 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/godebug @0.29 ms, 0.019 ms clock, 6584 bytes, 115 allocs
init encoding/base32 @0.32 ms, 0.003 ms clock, 640 bytes, 2 allocs
init encoding/base64 @0.33 ms, 0.003 ms clock, 1408 bytes, 4 allocs
init crypto @0.35 ms, 0.002 ms clock, 176 bytes, 1 allocs
init hash/crc32 @0.36 ms, 0.014 ms clock, 1152 bytes, 5 allocs
init syscall @0.39 ms, 0.008 ms clock, 1536 bytes, 5 allocs
init time @0.40 ms, 0.001 ms clock, 256 bytes, 2 allocs
init context @0.41 ms, 0 ms clock, 112 bytes, 1 allocs
init internal/poll @0.42 ms, 0.004 ms clock, 72 bytes, 2 allocs
init io/fs @0.43 ms, 0.003 ms clock, 0 bytes, 0 allocs
init os @0.44 ms, 0.009 ms clock, 448 bytes, 9 allocs
init os/signal @0.45 ms, 0.004 ms clock, 0 bytes, 0 allocs
init unicode @0.71 ms, 0.011 ms clock, 11400 bytes, 16 allocs
init reflect @0.73 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime/gc/native @0.74 ms, 0.014 ms clock, 6952 bytes, 11 allocs
init go/token @0.76 ms, 0.005 ms clock, 984 bytes, 4 allocs
init compress/flate @0.78 ms, 0.004 ms clock, 216 bytes, 6 allocs
init compress/gzip @0.79 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140 @0.79 ms, 0.006 ms clock, 640 bytes, 10 allocs
init crypto/internal/fips140/sha3 @0.81 ms, 0.004 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/sha256 @0.82 ms, 0 ms clock, 144 bytes, 2 allocs
init crypto/internal/fips140/sha512 @0.83 ms, 0 ms clock, 192 bytes, 1 allocs
init crypto/internal/fips140/hmac @0.84 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/check @0.84 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/fips140 @0.85 ms, 0 ms clock, 48 bytes, 1 allocs
init crypto/internal/fips140/aes @0.86 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/drbg @0.86 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/aes/gcm @0.87 ms, 0 ms clock, 400 bytes, 2 allocs
init crypto/sha256 @0.88 ms, 0 ms clock, 0 bytes, 0 allocs
init debug/dwarf @0.88 ms, 0.010 ms clock, 8032 bytes, 16 allocs
init encoding/json/jsontext @0.91 ms, 0.006 ms clock, 0 bytes, 0 allocs
init encoding/json/v2 @0.92 ms, 0.007 ms clock, 408 bytes, 15 allocs
init encoding/json @0.94 ms, 0.007 ms clock, 224 bytes, 2 allocs
init flag @0.95 ms, 0 ms clock, 128 bytes, 2 allocs
init github.com/tetratelabs/wazero/internal/platform @0.96 ms, 0.027 ms clock, 11064 bytes, 20 allocs
init github.com/wago-org/wago/internal/jsonstrict @1.0 ms, 0.005 ms clock, 48 bytes, 1 allocs
init github.com/wago-org/wago/src/core/compiler/wasm @1.0 ms, 0.020 ms clock, 0 bytes, 0 allocs
init golang.org/x/sys/unix @1.0 ms, 0.003 ms clock, 48 bytes, 1 allocs
init internal/sysinfo @1.0 ms, 0 ms clock, 88 bytes, 2 allocs
init math/big @1.0 ms, 0.003 ms clock, 0 bytes, 0 allocs
init crypto/rand @1.0 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime @1.0 ms, 0.003 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64 @1.0 ms, 0.071 ms clock, 15520 bytes, 114 allocs
init path/filepath @1.1 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/wago @1.1 ms, 0.002 ms clock, 112 bytes, 1 allocs
init github.com/wago-org/wasi/internal/core @1.1 ms, 0.095 ms clock, 4992 bytes, 24 allocs
init go/parser @1.2 ms, 0.006 ms clock, 840 bytes, 9 allocs
init internal/fuzz @1.3 ms, 0.005 ms clock, 400 bytes, 7 allocs
init regexp/syntax @1.3 ms, 0.002 ms clock, 2344 bytes, 6 allocs
init regexp @1.3 ms, 0.003 ms clock, 0 bytes, 0 allocs
init testing @1.3 ms, 0.001 ms clock, 984 bytes, 4 allocs
init vendor/golang.org/x/net/dns/dnsmessage @1.3 ms, 0.002 ms clock, 768 bytes, 6 allocs
init net/netip @1.3 ms, 0.017 ms clock, 728 bytes, 18 allocs
init net @1.3 ms, 0.004 ms clock, 1768 bytes, 23 allocs
init github.com/tetratelabs/wazero/internal/wasm @1.3 ms, 0.011 ms clock, 17200 bytes, 8 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/ssa @1.4 ms, 0.005 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/backend/isa/amd64 @1.4 ms, 0.006 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo @1.4 ms, 0.11 ms clock, 9216 bytes, 3 allocs
init github.com/tetratelabs/wazero/imports/wasi_snapshot_preview1 @1.5 ms, 0.003 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/bench/suite @1.5 ms, 0.047 ms clock, 4824 bytes, 33 allocs
init main @1.6 ms, 0 ms clock, 0 bytes, 0 allocs
testing: warning: no tests to run
PASS
# sample 2
init internal/bytealg @0.003 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/runtime/gc/scan @0.012 ms, 0 ms clock, 0 bytes, 0 allocs
init runtime @0.020 ms, 0.024 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140deps/cpu @0.20 ms, 0.002 ms clock, 0 bytes, 0 allocs
init math @0.21 ms, 0.002 ms clock, 0 bytes, 0 allocs
init errors @0.22 ms, 0 ms clock, 0 bytes, 0 allocs
init iter @0.23 ms, 0.005 ms clock, 16 bytes, 1 allocs
init sync @0.24 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/godebug @0.24 ms, 0.014 ms clock, 6264 bytes, 113 allocs
init encoding/base32 @0.26 ms, 0.002 ms clock, 640 bytes, 2 allocs
init encoding/base64 @0.27 ms, 0.002 ms clock, 1408 bytes, 4 allocs
init crypto @0.28 ms, 0 ms clock, 176 bytes, 1 allocs
