# round 1
goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=1/validate/raw/requested=0-16         	  128359	       833.5 ns/op	         9.000 body-bytes	         1.000 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	         1.000 validation-worker-limit	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=1/validate/raw/requested=1-16         	  127375	       851.5 ns/op	         9.000 body-bytes	         1.000 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	         1.000 validation-worker-limit	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=1/validate/raw/requested=2-16         	   31501	      3598 ns/op	         9.000 body-bytes	         1.000 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	         2.000 validation-worker-limit	    2577 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=1/validate/raw/requested=4-16         	   33134	      3687 ns/op	         9.000 body-bytes	         1.000 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	         2.000 validation-worker-limit	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=1/backend/raw/requested=0-16          	   12832	      9634 ns/op	         1.000 backend-worker-limit	         9.000 body-bytes	         1.000 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	    7896 B/op	      21 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=1/backend/raw/requested=1-16          	   12724	      9374 ns/op	         1.000 backend-worker-limit	         9.000 body-bytes	         1.000 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	    7896 B/op	      21 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=1/backend/raw/requested=2-16          	    8527	     14178 ns/op	         2.000 backend-worker-limit	         9.000 body-bytes	         1.000 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	   17185 B/op	      44 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=1/backend/raw/requested=4-16          	    7174	     14350 ns/op	         2.000 backend-worker-limit	         9.000 body-bytes	         1.000 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	   17187 B/op	      44 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=4/validate/raw/requested=0-16         	  329805	       345.5 ns/op	         9.000 body-bytes	         4.000 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	         1.000 validation-worker-limit	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=4/validate/raw/requested=1-16         	  332626	       337.5 ns/op	         9.000 body-bytes	         4.000 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	         1.000 validation-worker-limit	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=4/validate/raw/requested=2-16         	   89544	      1383 ns/op	         9.000 body-bytes	         4.000 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	         2.000 validation-worker-limit	    2576 B/op	      17 allocs/op
