goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Imports-16 	    1000	     16048 ns/op	   32653 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Imports-16 	    1000	     17809 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Imports-16 	    1000	     17296 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Imports-16 	    1000	     16420 ns/op	   32653 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Imports-16 	    1000	     17087 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Imports-16 	    1000	     16117 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Imports-16 	    1000	     15105 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Imports-16 	    1000	     16310 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Imports-16 	    1000	     15076 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Imports-16 	    1000	     17055 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Instantiate-16         	    1000	      6835 ns/op	    4000 B/op	      60 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Instantiate-16         	    1000	      6485 ns/op	    4000 B/op	      60 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Instantiate-16         	    1000	      6643 ns/op	    4000 B/op	      60 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Instantiate-16         	    1000	      7428 ns/op	    4000 B/op	      60 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Instantiate-16         	    1000	      6861 ns/op	    4000 B/op	      60 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Instantiate-16         	    1000	      6033 ns/op	    4000 B/op	      60 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Instantiate-16         	    1000	      6824 ns/op	    4000 B/op	      60 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Instantiate-16         	    1000	      6556 ns/op	    4000 B/op	      60 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Instantiate-16         	    1000	      6618 ns/op	    4000 B/op	      60 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Instantiate-16         	    1000	      6903 ns/op	    4000 B/op	      60 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/LookupExecute-16       	    1000	      3575 ns/op	     528 B/op	       4 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/LookupExecute-16       	    1000	      3127 ns/op	     528 B/op	       4 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/LookupExecute-16       	    1000	      3057 ns/op	     528 B/op	       4 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/LookupExecute-16       	    1000	      3210 ns/op	     528 B/op	       4 allocs/op
