goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkInstanceLifecycleDiagnostic/tiny/FirstCompiled-16         	     100	     18464 ns/op	    1544 B/op	       9 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/FirstCompiled-16         	     100	     16424 ns/op	    1545 B/op	       9 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/FirstCompiled-16         	     100	     18301 ns/op	    1548 B/op	       9 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/FirstCompiled-16         	     100	     18663 ns/op	    1543 B/op	       9 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/FirstCompiled-16         	     100	     16594 ns/op	    1545 B/op	       9 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/FirstCompiled-16         	     100	     17143 ns/op	    1543 B/op	       9 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/FirstCompiled-16         	     100	     17973 ns/op	    1543 B/op	       9 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/FirstCompiled-16         	     100	     17444 ns/op	    1545 B/op	       9 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/FirstCompiled-16         	     100	     16828 ns/op	    1545 B/op	       9 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/FirstCompiled-16         	     100	     18175 ns/op	    1544 B/op	       9 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Instantiate-16           	     100	      6034 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Instantiate-16           	     100	      2992 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Instantiate-16           	     100	      3353 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Instantiate-16           	     100	      3214 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Instantiate-16           	     100	      2403 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Instantiate-16           	     100	      3406 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Instantiate-16           	     100	      2590 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Instantiate-16           	     100	      2723 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Instantiate-16           	     100	      2746 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Instantiate-16           	     100	      2791 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Close-16                 	     100	      3137 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Close-16                 	     100	      2591 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Close-16                 	     100	      2846 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Close-16                 	     100	      2963 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Close-16                 	     100	      2637 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Close-16                 	     100	      2871 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Close-16                 	     100	      2683 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Close-16                 	     100	      2659 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Close-16                 	     100	      3014 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Close-16                 	     100	      2973 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Lifecycle-16             	     100	      5485 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Lifecycle-16             	     100	      4534 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Lifecycle-16             	     100	      4541 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Lifecycle-16             	     100	      4747 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Lifecycle-16             	     100	      4522 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Lifecycle-16             	     100	      4421 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Lifecycle-16             	     100	      5305 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Lifecycle-16             	     100	      4305 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Lifecycle-16             	     100	      4346 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/tiny/Lifecycle-16             	     100	      4346 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/FirstCompiled-16     	     100	    187475 ns/op	    2793 B/op	      26 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/FirstCompiled-16     	     100	    173109 ns/op	    2794 B/op	      26 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/FirstCompiled-16     	     100	    183045 ns/op	    2797 B/op	      26 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/FirstCompiled-16     	     100	    179018 ns/op	    2793 B/op	      26 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/FirstCompiled-16     	     100	    179747 ns/op	    2792 B/op	      26 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/FirstCompiled-16     	     100	    172754 ns/op	    2771 B/op	      26 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/FirstCompiled-16     	     100	    181424 ns/op	    2783 B/op	      26 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/FirstCompiled-16     	     100	    189113 ns/op	    3001 B/op	      26 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/FirstCompiled-16     	     100	    190700 ns/op	    2808 B/op	      26 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/FirstCompiled-16     	     100	    176512 ns/op	    2783 B/op	      26 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     96687 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     85464 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     86732 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     94607 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     84317 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     98569 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     89417 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     95808 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     93204 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     88756 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     23285 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     22868 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     21854 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     23957 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     22412 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     21387 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     21723 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     23298 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     22857 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     22706 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    106974 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    112908 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    113014 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    113040 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    106260 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    112300 ns/op	    1464 B/op	       6 allocs/op
