goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-reuse-16         	    1000	      3233 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-reuse-16         	    1000	      3225 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-reuse-16         	    1000	      3571 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-reuse-16         	    1000	      3411 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-reuse-16         	    1000	      5450 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-reuse-16         	    1000	      3494 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-reuse-16         	    1000	      3797 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-reuse-16         	    1000	      4180 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-reuse-16         	    1000	      3710 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-reuse-16         	    1000	      3463 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-fresh-16         	    1000	     17647 ns/op	         1.005 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-fresh-16         	    1000	     17339 ns/op	         1.000 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-fresh-16         	    1000	     16012 ns/op	         1.000 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-fresh-16         	    1000	     15792 ns/op	         1.001 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=0/guard-fresh-16         	    1000	     16690 ns/op	         1.002 minor-faults/op	      64 B/op	       1 allocs/op
