goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=1-16         	  127767	       861.1 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=1-16         	  124111	       869.9 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=1-16         	  118024	       851.5 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=1-16         	  128978	       859.6 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=1-16         	  130129	       862.5 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=1-16         	  128336	       843.5 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=1-16         	  121634	       874.8 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=1-16         	  122332	       887.4 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=1-16         	  125388	       866.3 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=1-16         	  130924	       837.1 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=2-16         	   30724	      3682 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2577 B/op	      17 allocs/op
