goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkExec/tiny.add-16         	     100	        20.87 ns/op	     89699 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/fib_rec.fib-16      	     100	    871861 ns/op	         3.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/memory.sum-16       	     100	       202.9 ns/op	      9675 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/memory_tree.run-16  	     100	      8898 ns/op	       236.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/dispatch.apply-16   	     100	        22.20 ns/op	     96833 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/many_funcs.run-16   	     100	        20.27 ns/op	    103737 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/linked_list.sum-16  	     100	      8015 ns/op	       254.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/nbody.step-16       	     100	    259586 ns/op	         8.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/fannkuch.run-16     	     100	   1040463 ns/op	         2.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/matmul.run-16       	     100	     80606 ns/op	        28.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/sha256.hashN-16     	     100	     33302 ns/op	        62.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/raytrace.render-16  	     100	    355024 ns/op	         6.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/json-as.serializeN-16         	     100	     19418 ns/op	        92.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/json-as.deserializeN-16       	     100	     36601 ns/op	        61.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/blake-as.hashN-16             	     100	    440257 ns/op	         5.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/utf-as.convertN-16            	     100	    144619 ns/op	        15.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/json-as-simd.serializeN-16    	     100	     23792 ns/op	        91.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/json-as-simd.deserializeN-16  	     100	     47742 ns/op	        45.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/blake-as-simd.hashN-16        	     100	    412682 ns/op	         5.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/utf-as-simd.convertN-16       	     100	     49553 ns/op	        42.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/utf-as-simd.validateN-16      	     100	    145287 ns/op	        14.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/coremark.coremark_run-16      	     100	  32791390 ns/op	         1.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/blake3.blake3_hash-16         	     100	    264502 ns/op	         9.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/blake3.blake3_keyed_hash-16   	     100	    261403 ns/op	         8.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/blake3.blake3_derive_key-16   	     100	    268633 ns/op	         8.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/qoi.qoi_encode_run-16         	     100	      7788 ns/op	       273.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/qoi.qoi_decode_run-16         	     100	      6168 ns/op	       343.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/lz4.lz4_compress_run-16       	     100	     32810 ns/op	        64.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/lz4.lz4_decompress_run-16     	     100	      2098 ns/op	       981.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/zlib.zlib_inflate_run-16      	     100	      8492 ns/op	       246.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/zstd.zstd_decompress_run-16   	     100	      5770 ns/op	       374.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/yyjson.yyjson_run-16          	     100	       784.4 ns/op	      2741 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/utf8proc.utf8proc_run-16      	     100	       860.4 ns/op	      2372 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/xxhash.xxhash_run-16          	     100	    126256 ns/op	        17.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/libtommath.libtommath_run-16  	     100	     13842 ns/op	       151.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/nanosvg.nanosvg_run-16        	     100	      2762 ns/op	       755.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/kissfft.kissfft_run-16        	     100	    298065 ns/op	         7.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/miniz.miniz_run-16            	     100	   4483452 ns/op	         1.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/monocypher.monocypher_run-16  	     100	     32988 ns/op	        63.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/drwav.drwav_run-16            	     100	      7879 ns/op	       256.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/fastfloat.fastfloat_run-16    	     100	       493.6 ns/op	      4280 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/pcre2.pcre2_run-16            	     100	      9122 ns/op	       212.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-2mm.polybench_run-16         	     100	    227660 ns/op	        10.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-3mm.polybench_run-16         	     100	    371571 ns/op	         6.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-adi.polybench_run-16         	     100	   1786175 ns/op	         1.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-atax.polybench_run-16        	     100	     33423 ns/op	        57.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-bicg.polybench_run-16        	     100	     55167 ns/op	        37.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-cholesky.polybench_run-16    	     100	   1398244 ns/op	         2.000 calls/batch	       0 B/op	       0 allocs/op
