File: baseline-suite.test
Build ID: e690105cfef12beeb7b3f5a62a5c6c1a837344db
Type: cpu
Time: 2026-09-20 21:12:17 EDT
Duration: 6.10s, Total samples = 9.16s (150.20%)
Showing nodes accounting for 2.03s, 22.16% of 9.16s total
Dropped 173 nodes (cum <= 0.05s)
Showing top 30 nodes out of 182
      flat  flat%   sum%        cum   cum%
     0.01s  0.11%  0.11%      5.73s 62.55%  github.com/wago-org/wago/bench/suite.BenchmarkCommandLifecycleDiagnostic.func1.1
         0     0%  0.11%      5.73s 62.55%  testing.(*B).launch
         0     0%  0.11%      5.73s 62.55%  testing.(*B).runN
     0.02s  0.22%  0.33%      5.72s 62.45%  github.com/wago-org/wago/bench/suite.commandRuntimeImports
         0     0%  0.33%      5.68s 62.01%  github.com/wago-org/wasi/internal/core.Imports
         0     0%  0.33%      5.68s 62.01%  github.com/wago-org/wasi/p1.Imports (inline)
     0.11s  1.20%  1.53%      5.55s 60.59%  github.com/wago-org/wasi/internal/core.(*Plugin).Imports
         0     0%  1.53%      3.21s 35.04%  runtime.systemstack
     0.24s  2.62%  4.15%      3.04s 33.19%  github.com/wago-org/wago/src/wago.(*Imports).HostFunc
         0     0%  4.15%      2.36s 25.76%  runtime.gcBgMarkWorker
         0     0%  4.15%      2.15s 23.47%  runtime.gcBgMarkWorker.func2
     0.01s  0.11%  4.26%      2.15s 23.47%  runtime.gcDrain
     0.14s  1.53%  5.79%      1.97s 21.51%  runtime.mallocgc
     0.02s  0.22%  6.00%      1.80s 19.65%  github.com/wago-org/wago/src/wago.(*Imports).add
         0     0%  6.00%      1.80s 19.65%  runtime.gcDrainMarkWorkerDedicated (inline)
     0.03s  0.33%  6.33%      1.26s 13.76%  runtime.newobject
     0.12s  1.31%  7.64%      1.14s 12.45%  runtime.mallocgcSmallScanNoHeader
     0.16s  1.75%  9.39%      0.94s 10.26%  runtime.scanObject
         0     0%  9.39%      0.85s  9.28%  runtime.markroot
     0.07s  0.76% 10.15%      0.80s  8.73%  runtime.mapassign_faststr
     0.19s  2.07% 12.23%      0.68s  7.42%  github.com/wago-org/wasi/internal/core.(*Plugin).bindings
     0.02s  0.22% 12.45%      0.65s  7.10%  github.com/wago-org/wago/src/wago.importBindingMapKey (inline)
     0.07s  0.76% 13.21%      0.64s  6.99%  runtime.growslice
     0.03s  0.33% 13.54%      0.62s  6.77%  runtime.concatstring4
     0.08s  0.87% 14.41%      0.59s  6.44%  github.com/wago-org/wasi/internal/core.binding.callback (inline)
     0.20s  2.18% 16.59%      0.59s  6.44%  runtime.concatstrings
     0.39s  4.26% 20.85%      0.59s  6.44%  runtime.tryDeferToSpanScan
         0     0% 20.85%      0.57s  6.22%  runtime.(*mcache).nextFree
     0.01s  0.11% 20.96%      0.55s  6.00%  runtime.(*mcache).refill
     0.11s  1.20% 22.16%      0.54s  5.90%  github.com/wago-org/wago/src/wago.(*ImportFuncBuilder).Params
