File: wasi-baseline.test
Build ID: 8b12a75ed5bdbf4567b7d2c59cde06728f660add
Type: inuse_objects
Time: 2026-09-21 06:08:31 EDT
Showing nodes accounting for 816, 91.48% of 892 total
Dropped 172 nodes (cum <= 4)
Showing top 100 nodes out of 172
      flat  flat%   sum%        cum   cum%
       162 18.16% 18.16%        249 27.91%  runtime.mallocgc
        83  9.30% 27.47%         83  9.30%  runtime/metrics.init.0
        58  6.50% 33.97%         97 10.87%  internal/godebug.lookup
        54  6.05% 40.02%         54  6.05%  github.com/wago-org/wago/src/core/compiler/optimization.clone (inline)
        47  5.27% 45.29%         48  5.38%  flag.(*FlagSet).Var
        47  5.27% 50.56%         47  5.27%  runtime/metrics.runtime_readMetrics
        30  3.36% 53.92%         30  3.36%  internal/sync.newEntryNode[go.shape.interface {},go.shape.interface {}] (inline)
        26  2.91% 56.84%        112 12.56%  internal/godebug.parse
        22  2.47% 59.30%         47  5.27%  flag.(*FlagSet).String
        19  2.13% 61.43%         19  2.13%  runtime.mallocgcTinySC2
        16  1.79% 63.23%         16  1.79%  internal/sync.newIndirectNode[go.shape.interface {},go.shape.interface {}] (inline)
        13  1.46% 64.69%         15  1.68%  encoding/json/v2.init
        13  1.46% 66.14%         13  1.46%  runtime.mallocgcSmallNoScanSC3
        13  1.46% 67.60%         13  1.46%  runtime.mallocgcSmallNoScanSC6
        13  1.46% 69.06%         13  1.46%  runtime.mallocgcSmallNoScanSC7
        13  1.46% 70.52%         13  1.46%  runtime.mallocgcSmallScanNoHeaderSC1
        10  1.12% 71.64%         10  1.12%  github.com/wago-org/wago/src/wago.defaultOptimizationSnapshot
         8   0.9% 72.53%          8   0.9%  net.map.init.0
         8   0.9% 73.43%          8   0.9%  runtime.mallocgcSmallNoScanSC5
         8   0.9% 74.33%          8   0.9%  sync.OnceFunc (inline)
         6  0.67% 75.00%         21  2.35%  net.init
         6  0.67% 75.67%          6  0.67%  os.newFile
         6  0.67% 76.35%          6  0.67%  sync.OnceValue[go.shape.*uint8] (inline)
         6  0.67% 77.02%         11  1.23%  testing.(*T).Run
         6  0.67% 77.69%         13  1.46%  unique.(*canonMap[go.shape.struct { net/netip.isV6 bool; net/netip.zoneV6 string }]).LoadOrStore
         6  0.67% 78.36%          6  0.67%  vendor/golang.org/x/net/dns/dnsmessage.init
         5  0.56% 78.92%         11  1.23%  flag.(*FlagSet).Int
         5  0.56% 79.48%          9  1.01%  go/parser.init
         5  0.56% 80.04%          5  0.56%  os.readFileContents
         4  0.45% 80.49%         16  1.79%  debug/dwarf.init
         4  0.45% 80.94%          4  0.45%  debug/dwarf.map.init.0
         4  0.45% 81.39%          4  0.45%  debug/dwarf.map.init.1
         4  0.45% 81.84%          4  0.45%  debug/dwarf.map.init.2
         4  0.45% 82.29%          4  0.45%  flag.(*FlagSet).parseOne
         4  0.45% 82.74%          4  0.45%  github.com/tetratelabs/wazero/internal/wasm.map.init.0
         4  0.45% 83.18%          4  0.45%  github.com/tetratelabs/wazero/internal/wasm.map.init.1
         4  0.45% 83.63%         58  6.50%  github.com/wago-org/wago/src/core/compiler/optimization.NewBindings
         4  0.45% 84.08%          4  0.45%  go/parser.map.init.0
         4  0.45% 84.53%          4  0.45%  go/token.init.0
         4  0.45% 84.98%          4  0.45%  net.IPv4 (inline)
         4  0.45% 85.43%          4  0.45%  regexp/syntax.map.init.1
         4  0.45% 85.87%          4  0.45%  runtime.mallocgcSmallNoScanSC4
         4  0.45% 86.32%          4  0.45%  sync.OnceValue[go.shape.string] (inline)
         4  0.45% 86.77%          4  0.45%  syscall.init.func1
         4  0.45% 87.22%          4  0.45%  testing.init
         4  0.45% 87.67%         16  1.79%  unicode.init
         4  0.45% 88.12%          4  0.45%  unicode.map.init.0
         4  0.45% 88.57%          4  0.45%  unicode.map.init.1
         4  0.45% 89.01%          4  0.45%  unicode.map.init.2
         4  0.45% 89.46%          6  0.67%  unique.newEntryNode[go.shape.struct { net/netip.isV6 bool; net/netip.zoneV6 string }]
         3  0.34% 89.80%         16  1.79%  testing.newMatcher
         3  0.34% 90.13%         35  3.92%  testing.runTests
         2  0.22% 90.36%          4  0.45%  context.WithCancel
         2  0.22% 90.58%          4  0.45%  encoding/base64.init
         2  0.22% 90.81%         10  1.12%  regexp.compile
         1  0.11% 90.92%         11  1.23%  flag.(*FlagSet).Bool
         1  0.11% 91.03%        114 12.78%  internal/godebug.setUpdate
         1  0.11% 91.14%          4  0.45%  syscall.init
         1  0.11% 91.26%         40  4.48%  testing.(*M).Run
         1  0.11% 91.37%         60  6.73%  testing.MainStart
         1  0.11% 91.48%         18  2.02%  unique.Make[go.shape.struct { net/netip.isV6 bool; net/netip.zoneV6 string }]
         0     0% 91.48%          6  0.67%  compress/flate.init
         0     0% 91.48%          4  0.45%  crypto/internal/fips140.init
         0     0% 91.48%          7  0.78%  crypto/internal/fips140deps/godebug.Value (inline)
         0     0% 91.48%         10  1.12%  flag.(*FlagSet).BoolVar (inline)
         0     0% 91.48%          6  0.67%  flag.(*FlagSet).IntVar (inline)
         0     0% 91.48%          4  0.45%  flag.(*FlagSet).Parse
         0     0% 91.48%         25  2.80%  flag.(*FlagSet).StringVar (inline)
         0     0% 91.48%         11  1.23%  flag.Bool (inline)
         0     0% 91.48%         11  1.23%  flag.Int (inline)
         0     0% 91.48%          4  0.45%  flag.Parse (inline)
         0     0% 91.48%         47  5.27%  flag.String (inline)
         0     0% 91.48%          5  0.56%  flag.Var (inline)
         0     0% 91.48%          8   0.9%  github.com/tetratelabs/wazero/internal/wasm.init
         0     0% 91.48%         10  1.12%  github.com/wago-org/wago.Compile (inline)
         0     0% 91.48%          7  0.78%  github.com/wago-org/wago.Instantiate (inline)
         0     0% 91.48%         24  2.69%  github.com/wago-org/wago/bench/suite.TestWASIMemoryReview
         0     0% 91.48%         23  2.58%  github.com/wago-org/wago/bench/suite.init
         0     0% 91.48%         47  5.27%  github.com/wago-org/wago/bench/suite.init.0
         0     0% 91.48%          5  0.56%  github.com/wago-org/wago/bench/suite.mustRead (inline)
         0     0% 91.48%         47  5.27%  github.com/wago-org/wago/bench/suite.reviewCheckpoint
         0     0% 91.48%         24  2.69%  github.com/wago-org/wago/bench/suite.reviewWork
         0     0% 91.48%         11  1.23%  github.com/wago-org/wago/bench/suite.reviewWork.func1
         0     0% 91.48%         11  1.23%  github.com/wago-org/wago/bench/suite.runWagoCommand
         0     0% 91.48%         59  6.61%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.init
         0     0% 91.48%         54  6.05%  github.com/wago-org/wago/src/core/compiler/optimization.ForArch (inline)
         0     0% 91.48%          4  0.45%  github.com/wago-org/wago/src/core/runtime/gc/native.init
         0     0% 91.48%          6  0.67%  github.com/wago-org/wago/src/wago.(*instanceBuilder).instantiate
         0     0% 91.48%         10  1.12%  github.com/wago-org/wago/src/wago.Compile
         0     0% 91.48%          7  0.78%  github.com/wago-org/wago/src/wago.Instantiate
         0     0% 91.48%         10  1.12%  github.com/wago-org/wago/src/wago.NewRuntimeConfig
         0     0% 91.48%         10  1.12%  github.com/wago-org/wago/src/wago.compileWithConfig (inline)
         0     0% 91.48%         10  1.12%  github.com/wago-org/wago/src/wago.compileWithConfigAndInstructions
         0     0% 91.48%          7  0.78%  github.com/wago-org/wago/src/wago.instantiateCore (inline)
         0     0% 91.48%          7  0.78%  github.com/wago-org/wago/src/wago.instantiateCoreWithModuleLease
         0     0% 91.48%          5  0.56%  hash/crc32.init
         0     0% 91.48%          4  0.45%  internal/fuzz.init
         0     0% 91.48%         11  1.23%  internal/godebug.(*Setting).Value
         0     0% 91.48%         11  1.23%  internal/godebug.(*Setting).Value.func1
         0     0% 91.48%        115 12.89%  internal/godebug.init.0
