File: wasi-candidate.test
Build ID: 9916204981ffdb4d656d65265e5c6e462cbf661d
Type: inuse_objects
Time: 2026-09-21 06:08:34 EDT
Showing nodes accounting for 824, 91.86% of 897 total
Dropped 170 nodes (cum <= 4)
Showing top 100 nodes out of 175
      flat  flat%   sum%        cum   cum%
       156 17.39% 17.39%        244 27.20%  runtime.mallocgc
        83  9.25% 26.64%         83  9.25%  runtime/metrics.init.0
        58  6.47% 33.11%         99 11.04%  internal/godebug.lookup
        54  6.02% 39.13%         54  6.02%  github.com/wago-org/wago/src/core/compiler/optimization.clone (inline)
        47  5.24% 44.37%         48  5.35%  flag.(*FlagSet).Var
        47  5.24% 49.61%         47  5.24%  runtime/metrics.runtime_readMetrics
        30  3.34% 52.95%         30  3.34%  internal/sync.newEntryNode[go.shape.interface {},go.shape.interface {}] (inline)
        26  2.90% 55.85%        115 12.82%  internal/godebug.parse
        22  2.45% 58.31%         47  5.24%  flag.(*FlagSet).String
        19  2.12% 60.42%         19  2.12%  runtime.mallocgcTinySC2
        18  2.01% 62.43%         18  2.01%  internal/sync.newIndirectNode[go.shape.interface {},go.shape.interface {}] (inline)
        13  1.45% 63.88%         15  1.67%  encoding/json/v2.init
        13  1.45% 65.33%         13  1.45%  runtime.mallocgcSmallNoScanSC3
        13  1.45% 66.78%         13  1.45%  runtime.mallocgcSmallNoScanSC6
        13  1.45% 68.23%         13  1.45%  runtime.mallocgcSmallNoScanSC7
        12  1.34% 69.57%         12  1.34%  runtime.mallocgcSmallScanNoHeaderSC1
        10  1.11% 70.68%         10  1.11%  github.com/wago-org/wago/src/wago.defaultOptimizationSnapshot
         9  1.00% 71.68%          9  1.00%  github.com/wago-org/wasi/internal/core.init.func1 (inline)
         8  0.89% 72.58%          8  0.89%  net.map.init.0
         8  0.89% 73.47%          8  0.89%  runtime.mallocgcSmallNoScanSC5
         8  0.89% 74.36%          8  0.89%  sync.OnceFunc (inline)
         6  0.67% 75.03%         21  2.34%  net.init
         6  0.67% 75.70%          6  0.67%  os.newFile
         6  0.67% 76.37%          6  0.67%  sync.OnceValue[go.shape.*uint8] (inline)
         6  0.67% 77.03%         11  1.23%  testing.(*T).Run
         6  0.67% 77.70%         12  1.34%  unique.(*canonMap[go.shape.struct { net/netip.isV6 bool; net/netip.zoneV6 string }]).LoadOrStore
         6  0.67% 78.37%          6  0.67%  vendor/golang.org/x/net/dns/dnsmessage.init
         5  0.56% 78.93%         11  1.23%  flag.(*FlagSet).Int
         5  0.56% 79.49%          9  1.00%  go/parser.init
         5  0.56% 80.04%          5  0.56%  os.readFileContents
         4  0.45% 80.49%         16  1.78%  debug/dwarf.init
         4  0.45% 80.94%          4  0.45%  debug/dwarf.map.init.0
         4  0.45% 81.38%          4  0.45%  debug/dwarf.map.init.1
         4  0.45% 81.83%          4  0.45%  debug/dwarf.map.init.2
         4  0.45% 82.27%          4  0.45%  flag.(*FlagSet).parseOne
         4  0.45% 82.72%          4  0.45%  github.com/tetratelabs/wazero/internal/wasm.map.init.0
         4  0.45% 83.17%          4  0.45%  github.com/tetratelabs/wazero/internal/wasm.map.init.1
         4  0.45% 83.61%         58  6.47%  github.com/wago-org/wago/src/core/compiler/optimization.NewBindings
         4  0.45% 84.06%          4  0.45%  go/parser.map.init.0
         4  0.45% 84.50%          4  0.45%  go/token.init.0
         4  0.45% 84.95%          4  0.45%  net.IPv4 (inline)
         4  0.45% 85.40%          4  0.45%  regexp/syntax.map.init.1
         4  0.45% 85.84%          4  0.45%  runtime.mallocgcSmallNoScanSC4
         4  0.45% 86.29%          4  0.45%  runtime.mallocgcSmallScanNoHeaderSC2
         4  0.45% 86.73%          4  0.45%  sync.OnceValue[go.shape.string] (inline)
         4  0.45% 87.18%          4  0.45%  syscall.init.func1
         4  0.45% 87.63%          4  0.45%  testing.init
         4  0.45% 88.07%         16  1.78%  unicode.init
         4  0.45% 88.52%          4  0.45%  unicode.map.init.0
         4  0.45% 88.96%          4  0.45%  unicode.map.init.1
         4  0.45% 89.41%          4  0.45%  unicode.map.init.2
         4  0.45% 89.86%          6  0.67%  unique.newEntryNode[go.shape.struct { net/netip.isV6 bool; net/netip.zoneV6 string }]
         3  0.33% 90.19%         16  1.78%  testing.newMatcher
         3  0.33% 90.52%         35  3.90%  testing.runTests
         2  0.22% 90.75%          4  0.45%  context.WithCancel
         2  0.22% 90.97%          4  0.45%  encoding/base64.init
         2  0.22% 91.19%         10  1.11%  regexp.compile
         1  0.11% 91.30%         11  1.23%  flag.(*FlagSet).Bool
         1  0.11% 91.42%        117 13.04%  internal/godebug.setUpdate
         1  0.11% 91.53%          4  0.45%  syscall.init
         1  0.11% 91.64%         40  4.46%  testing.(*M).Run
         1  0.11% 91.75%         60  6.69%  testing.MainStart
         1  0.11% 91.86%         17  1.90%  unique.Make[go.shape.struct { net/netip.isV6 bool; net/netip.zoneV6 string }]
         0     0% 91.86%          6  0.67%  compress/flate.init
         0     0% 91.86%          6  0.67%  crypto/internal/fips140deps/godebug.Value
         0     0% 91.86%         10  1.11%  flag.(*FlagSet).BoolVar (inline)
         0     0% 91.86%          6  0.67%  flag.(*FlagSet).IntVar (inline)
         0     0% 91.86%          4  0.45%  flag.(*FlagSet).Parse
         0     0% 91.86%         25  2.79%  flag.(*FlagSet).StringVar (inline)
         0     0% 91.86%         11  1.23%  flag.Bool (inline)
         0     0% 91.86%         11  1.23%  flag.Int (inline)
         0     0% 91.86%          4  0.45%  flag.Parse (inline)
         0     0% 91.86%         47  5.24%  flag.String (inline)
         0     0% 91.86%          5  0.56%  flag.Var (inline)
         0     0% 91.86%          8  0.89%  github.com/tetratelabs/wazero/internal/wasm.init
         0     0% 91.86%         10  1.11%  github.com/wago-org/wago.Compile (inline)
         0     0% 91.86%          7  0.78%  github.com/wago-org/wago.Instantiate (inline)
         0     0% 91.86%         24  2.68%  github.com/wago-org/wago/bench/suite.TestWASIMemoryReview
         0     0% 91.86%         23  2.56%  github.com/wago-org/wago/bench/suite.init
         0     0% 91.86%         47  5.24%  github.com/wago-org/wago/bench/suite.init.0
         0     0% 91.86%          5  0.56%  github.com/wago-org/wago/bench/suite.mustRead (inline)
         0     0% 91.86%         47  5.24%  github.com/wago-org/wago/bench/suite.reviewCheckpoint
         0     0% 91.86%         24  2.68%  github.com/wago-org/wago/bench/suite.reviewWork
         0     0% 91.86%         11  1.23%  github.com/wago-org/wago/bench/suite.reviewWork.func1
         0     0% 91.86%         11  1.23%  github.com/wago-org/wago/bench/suite.runWagoCommand
         0     0% 91.86%         59  6.58%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.init
         0     0% 91.86%         54  6.02%  github.com/wago-org/wago/src/core/compiler/optimization.ForArch (inline)
         0     0% 91.86%          4  0.45%  github.com/wago-org/wago/src/core/runtime/gc/native.init
         0     0% 91.86%          6  0.67%  github.com/wago-org/wago/src/wago.(*instanceBuilder).instantiate
         0     0% 91.86%         10  1.11%  github.com/wago-org/wago/src/wago.Compile
         0     0% 91.86%          7  0.78%  github.com/wago-org/wago/src/wago.Instantiate
         0     0% 91.86%         10  1.11%  github.com/wago-org/wago/src/wago.NewRuntimeConfig
         0     0% 91.86%         10  1.11%  github.com/wago-org/wago/src/wago.compileWithConfig (inline)
         0     0% 91.86%         10  1.11%  github.com/wago-org/wago/src/wago.compileWithConfigAndInstructions
         0     0% 91.86%          7  0.78%  github.com/wago-org/wago/src/wago.instantiateCore (inline)
         0     0% 91.86%          7  0.78%  github.com/wago-org/wago/src/wago.instantiateCoreWithModuleLease
         0     0% 91.86%          9  1.00%  github.com/wago-org/wasi/internal/core.init
         0     0% 91.86%          5  0.56%  hash/crc32.init
         0     0% 91.86%          4  0.45%  internal/fuzz.init
         0     0% 91.86%         10  1.11%  internal/godebug.(*Setting).Value
