goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkExec/tiny.add-16         	     100	        20.83 ns/op	     96088 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/fib_rec.fib-16      	     100	    879159 ns/op	         3.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/memory.sum-16       	     100	       206.7 ns/op	      9899 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/memory_tree.run-16  	     100	      9103 ns/op	       228.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/dispatch.apply-16   	     100	        22.57 ns/op	     90139 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/many_funcs.run-16   	     100	        20.69 ns/op	     99391 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/linked_list.sum-16  	     100	      8151 ns/op	       238.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/nbody.step-16       	     100	    271630 ns/op	         8.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/fannkuch.run-16     	     100	   1057424 ns/op	         2.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/matmul.run-16       	     100	     81008 ns/op	        26.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/sha256.hashN-16     	     100	     33522 ns/op	        60.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/raytrace.render-16  	     100	    365923 ns/op	         6.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/json-as.serializeN-16         	     100	     19493 ns/op	       105.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/json-as.deserializeN-16       	     100	     37427 ns/op	        45.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/blake-as.hashN-16             	     100	    441809 ns/op	         5.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/utf-as.convertN-16            	     100	    145538 ns/op	        15.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/json-as-simd.serializeN-16    	     100	     24544 ns/op	        86.00 calls/batch	       0 B/op	       0 allocs/op
