goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    6540	     19171 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    6408	     19040 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    5830	     19590 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    5749	     19640 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    5278	     19749 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    6790	     18983 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    5630	     20183 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    6027	     19957 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    6618	     18973 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    6037	     19650 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/concurrent/full-16         	   23350	      5076 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
