File: candidate-diagnostic.test
Build ID: e89d591c55a63bbc3d720e74b98a825920fd265d
Type: alloc_objects
Time: 2026-09-20 21:28:33 EDT
Showing nodes accounting for 47080, 67.67% of 69568 total
Dropped 348 nodes (cum <= 347)
Showing top 30 nodes out of 181
      flat  flat%   sum%        cum   cum%
      4861  6.99%  6.99%       4861  6.99%  github.com/wago-org/wago/src/core/compiler/wasm.readVec[go.shape.struct { Count uint32; Type github.com/wago-org/wago/src/core/compiler/wasm.ValType }]
      3171  4.56% 11.55%       4342  6.24%  fmt.Sprintf
      2758  3.96% 15.51%       3906  5.61%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).emitRegisterCallVia
      2728  3.92% 19.43%       5078  7.30%  github.com/wago-org/wago/src/core/compiler/frontend.supportPass.globals
      2262  3.25% 22.68%      35822 51.49%  github.com/wago-org/wago/src/wago.compileWithFrontendFeaturesAndInstructions
      2160  3.10% 25.79%       4050  5.82%  github.com/wago-org/wago/src/core/compiler/wasm.(*moduleValidator).resolvedCompType
      2020  2.90% 28.69%       2020  2.90%  github.com/wago-org/wago/src/core/compiler/wasm.StructuralFuncTypeKey
      1998  2.87% 31.56%      19741 28.38%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.compileModuleParallel.func1
      1890  2.72% 34.28%       1890  2.72%  github.com/wago-org/wago/src/core/compiler/wasm.(*moduleValidator).resolveCompTypeRecIndexes
      1890  2.72% 37.00%       1890  2.72%  github.com/wago-org/wago/src/core/compiler/wasm.readVec[go.shape.struct { github.com/wago-org/wago/src/core/compiler/wasm.lo uint64; github.com/wago-org/wago/src/core/compiler/wasm.hi uint64 }]
      1868  2.69% 39.68%       5517  7.93%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.compileModuleParallel
      1478  2.12% 41.81%       1478  2.12%  github.com/wago-org/wago/src/core/encoder/amd64.(*Asm).Grow (inline)
      1473  2.12% 43.92%       1473  2.12%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).trapIf
      1398  2.01% 45.93%       1398  2.01%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).recordBrFold (inline)
      1227  1.76% 47.70%       1227  1.76%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).assignPinnedLocals
      1216  1.75% 49.45%       1216  1.75%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.newStackWithCap
      1212  1.74% 51.19%       1212  1.74%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).rootsBottomToTop
      1204  1.73% 52.92%       1204  1.73%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*scratch).reserveLocalScratch (inline)
      1185  1.70% 54.62%       1185  1.70%  github.com/wago-org/wago/src/core/compiler/wasm.(*funcValidator).pushCtrl
      1138  1.64% 56.26%       1138  1.64%  regexp.makeOnePass.func1
      1054  1.52% 57.77%       1054  1.52%  github.com/wago-org/wago/src/core/compiler/wasm.(*reader).name
       933  1.34% 59.11%        933  1.34%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*stack).alloc
       872  1.25% 60.37%       1074  1.54%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.pickModuleGlobals
       811  1.17% 61.53%       2027  2.91%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.newScratchWithStackCap
       762  1.10% 62.63%        762  1.10%  encoding/json/v2.makeString
       754  1.08% 63.71%        754  1.08%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).trapAlways
       708  1.02% 64.73%       1977  2.84%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.computeModuleHintsWithWorkersResidencyPolicy
       704  1.01% 65.74%        704  1.01%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).newLocStateBuf
       680  0.98% 66.72%       1350  1.94%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).emitCrossInstanceCall
       665  0.96% 67.67%        692  0.99%  github.com/wago-org/wago/src/core/compiler/wasm.(*moduleValidator).validateFunctionsParallel
