goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    5610	     18296 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    6516	     19559 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    5983	     19736 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    6654	     19115 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    6590	     19152 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    6596	     21009 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    6525	     19665 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    6356	     19580 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    6518	     18457 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full-16             	    5821	     19476 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/concurrent/full-16         	   21507	      5169 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/concurrent/full-16         	   23263	      5087 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18240 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/concurrent/full-16         	   23929	      5161 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18240 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/concurrent/full-16         	   23095	      5011 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/concurrent/full-16         	   23923	      5067 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18240 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/concurrent/full-16         	   23646	      5162 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18240 B/op	      99 allocs/op
