goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/src/core/runtime/gc/native
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkGCStructCardScanControls/fields=255/ranges=15         	  102660	      2321 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=255/ranges=16         	   96043	      2498 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=256/ranges=15         	  103749	      2314 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=256/ranges=16         	  166906	      1464 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=257/ranges=15         	  104294	      2307 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=257/ranges=16         	  166009	      1448 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=15        	    7873	     30712 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=16        	   14587	     16471 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=32        	   10000	     21485 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=33        	    3514	     68586 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=1               	 2317783	       103.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=15              	  168714	      1413 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=16              	  158682	      1515 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=32              	   80256	      2994 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=33              	   77692	      3098 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=15/mixed=false         	    7422	     32050 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=15/mixed=true          	    7038	     34412 ns/op	      44 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=16/mixed=false         	   13789	     18069 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=16/mixed=true          	   12140	     19515 ns/op	      35 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=32/mixed=false         	    9762	     24649 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=32/mixed=true          	    8296	     28272 ns/op	      41 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=33/mixed=false         	    3105	     75571 ns/op	      25 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=33/mixed=true          	    3128	     78747 ns/op	      69 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=15/mixed=false          	    6675	     34208 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=15/mixed=true           	    6418	     37139 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=16/mixed=false          	   13039	     18383 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=16/mixed=true           	   10000	     20727 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=32/mixed=false          	    8377	     24824 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=32/mixed=true           	    8286	     26146 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=33/mixed=false          	    3469	     70049 ns/op	      25 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=33/mixed=true           	    3278	     78571 ns/op	      25 B/op	       1 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=15                          	    6114	     34235 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=16                          	   84021	      2876 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=32                          	   70892	      3230 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=33                          	    3418	     70128 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=256/ranges=1                     	 1000000	       229.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=256/ranges=2                     	  524181	       461.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=1                    	   60910	      3937 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=2                    	   31024	      7806 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=8                    	    7795	     31454 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=15                   	    4147	     58660 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=false                  	 4768372	        50.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=true                   	 4733539	        51.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=1/unordered=false                	 1000000	       228.9 ns/op	       0 B/op	       0 allocs/op
