case,version,n,median_ns,min_ns,max_ns,median_B,median_allocs
BenchmarkGCStructCardScanControls/fields=255/ranges=15,baseline,6,3594.5,3566.0,3612.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=255/ranges=15,optimized,6,3527.0,3461.0,3572.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=255/ranges=16,baseline,6,3787.5,3705.0,3833.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=255/ranges=16,optimized,6,3775.5,3722.0,3832.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=256/ranges=15,baseline,6,3562.0,3485.0,3638.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=256/ranges=15,optimized,6,3479.5,3463.0,3568.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=256/ranges=16,baseline,6,3729.5,3693.0,3841.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=256/ranges=16,optimized,6,1468.5,1452.0,1510.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=257/ranges=15,baseline,6,3486.5,3415.0,3555.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=257/ranges=15,optimized,6,3511.0,3425.0,3556.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=257/ranges=16,baseline,6,3727.5,3652.0,3764.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=257/ranges=16,optimized,6,1425.5,1403.0,1442.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=4097/ranges=15,baseline,6,50556.5,49622.0,51964.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=4097/ranges=15,optimized,6,52109.5,48981.0,53173.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=4097/ranges=16,baseline,6,53577.0,52377.0,57707.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=4097/ranges=16,optimized,6,15928.5,15759.0,16161.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=4097/ranges=32,baseline,6,125465.5,106536.0,182402.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=4097/ranges=32,optimized,6,20755.0,20555.0,21272.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=4097/ranges=33,baseline,6,117563.5,111076.0,200767.0,0.0,0.0
BenchmarkGCStructCardScanControls/fields=4097/ranges=33,optimized,6,184731.5,158467.0,214086.0,0.0,0.0
BenchmarkGCStructCardScanControls/array/ranges=1,baseline,6,99.33500000000001,98.88,99.87,0.0,0.0
BenchmarkGCStructCardScanControls/array/ranges=1,optimized,6,99.345,99.13,99.98,0.0,0.0
BenchmarkGCStructCardScanControls/array/ranges=15,baseline,6,1355.5,1340.0,1374.0,0.0,0.0
BenchmarkGCStructCardScanControls/array/ranges=15,optimized,6,1367.0,1352.0,1377.0,0.0,0.0
BenchmarkGCStructCardScanControls/array/ranges=16,baseline,6,1440.0,1429.0,1465.0,0.0,0.0
