benchmark,samples_per_build,baseline_ns,final_ns,baseline_bytes,final_bytes,baseline_allocs,final_allocs
BenchmarkCompileSmallScalar-4,6,9980.5,9941.5,15861.0,15861.0,81.0,81.0
BenchmarkCompileSmallScalarCore3-4,6,9795.5,9821.5,15717.0,15717.0,80.0,80.0
BenchmarkCompileValueTypeClusters/distinct1024-4,6,69975944.5,58290595.5,33415406.5,33415442.0,99979.0,99978.5
BenchmarkCompileValueTypeClusters/distinct128-4,6,3318383.5,3093690.5,3615141.0,3615127.5,12266.0,12266.0
BenchmarkCompileValueTypeClusters/distinct32-4,6,573347.5,574464.5,586121.0,586126.0,2928.5,2929.0
BenchmarkCompileValueTypeClusters/distinct4-4,6,70933.0,71636.0,72942.5,72943.0,329.0,329.0
BenchmarkCompileValueTypeInterning/distinct1-4,6,9880.0,9816.5,16483.0,16483.0,66.0,66.0
BenchmarkCompileValueTypeInterning/distinct1024-4,6,4769271.0,4754741.5,2260947.0,2260951.0,7785.0,7785.0
BenchmarkCompileValueTypeInterning/distinct128-4,6,230666.0,233935.0,226369.0,226370.0,724.0,724.0
BenchmarkCompileValueTypeInterning/distinct16-4,6,30508.5,30691.5,41785.0,41785.0,152.0,152.0
BenchmarkCompileValueTypeInterning/distinct32-4,6,52721.0,52608.0,68495.0,68494.0,235.0,235.0
BenchmarkCompileValueTypeInterning/distinct4-4,6,13746.5,14029.5,21268.0,21268.0,85.0,85.0
BenchmarkCompileValueTypeWorkloads/json_as-4,6,1566925.5,1587012.5,309077.5,309076.0,408.0,408.0
BenchmarkCompileValueTypeWorkloads/linked_list-4,6,18818.5,18641.5,21237.0,21237.0,102.0,102.0
BenchmarkCompileValueTypeWorkloads/nanosvg-4,6,5941471.5,6119009.0,1040294.0,1040268.5,658.5,658.0
BenchmarkCompileValueTypeWorkloads/synthetic_globals_1024x16-4,6,71314004.0,58849412.5,33415656.0,33415830.5,99980.0,99981.5
BenchmarkCompileValueTypeWorkloads/synthetic_globals_128x16-4,6,3247106.5,3015142.5,3615237.0,3615305.5,12266.5,12267.0
BenchmarkCompileValueTypeWorkloads/synthetic_mixed_128x4-4,6,4868521.5,4719312.0,1895534.5,1895542.5,10233.0,10233.0
BenchmarkCompileValueTypeWorkloads/synthetic_unique_1024-4,6,2637524.5,2607414.5,1355395.0,1355396.0,4704.0,4704.0
BenchmarkValueTypeMetadata/distinct1024/cluster1-4,6,806716.0,811731.5,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct1024/cluster16-4,6,12887157.5,872201.0,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct1024/cluster2-4,6,1617971.0,816000.0,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct1024/cluster4-4,6,3229937.5,821684.0,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct1024/cluster64-4,6,51467878.0,989212.0,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct128/cluster1-4,6,13483.0,13686.0,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct128/cluster16-4,6,209932.0,23772.5,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct128/cluster2-4,6,27129.5,14339.0,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct128/cluster4-4,6,53925.5,15640.0,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct128/cluster64-4,6,820187.5,56162.0,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct32/cluster1-4,6,902.75,934.3499999999999,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct32/cluster16-4,6,13576.0,7420.5,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct32/cluster2-4,6,1738.5,1395.0,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct32/cluster4-4,6,3403.0,2244.0,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct32/cluster64-4,6,54122.0,28109.5,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct4/cluster1-4,6,28.869999999999997,29.71,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct4/cluster16-4,6,316.79999999999995,320.75,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct4/cluster2-4,6,51.629999999999995,51.285,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct4/cluster4-4,6,89.775,89.575,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadata/distinct4/cluster64-4,6,1237.0,1288.5,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadataPatterns/adjacent-4,6,1219353.0,406932.0,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadataPatterns/alternating-4,6,1194088.0,1199641.0,0.0,0.0,0.0,0.0
BenchmarkValueTypeMetadataPatterns/unique-4,6,402857.5,401636.5,0.0,0.0,0.0,0.0
