# upstream-path	coverage	port-mode
aarch64-extr.wast	runtime-regression	wast-json
add.wast	runtime-regression	wast-json
alias-region-imported-globals.wast	runtime-regression	wast-json
alias-region-imported-tables.wast	bulk-memory,reference-types	wast-json
alias-region-memory-copy.wast	bulk-memory	wast-json
bit-and-conditions.wast	runtime-regression	wast-json
br-table-fuzzbug.wast	sign-extension	wast-json
branch-hinting-invalid.wast	branch-hinting	direct-invalid
branch-hinting.wast	branch-hinting	direct-go
call_indirect.wast	runtime-regression	wast-json
control-flow.wast	runtime-regression	wast-json
div-rem.wast	runtime-regression	wast-json
elem-ref-null.wast	bulk-memory,reference-types	wast-json
elem_drop.wast	bulk-memory,reference-types	wast-json
embenchen_fannkuch.wast	compile-link-workload	wast-json
embenchen_fasta.wast	compile-link-workload	wast-json
embenchen_ifs.wast	compile-link-workload	wast-json
embenchen_primes.wast	compile-link-workload	wast-json
empty.wast	runtime-regression	wast-json
export-large-signature.wast	runtime-regression	wast-json
externref-id-function.wast	reference-types	wast-json
externref-segment.wast	reference-types	wast-json
externref-table-dropped-segment-issue-8281.wast	bulk-memory,reference-types	wast-json
f64-copysign.wast	runtime-regression	wast-json
fib.wast	runtime-regression	wast-json
float-round-doesnt-load-too-much.wast	runtime-regression	wast-json
func-400-params.wast	runtime-regression	wast-json
imported-memory-copy.wast	bulk-memory	wast-json
int-to-float-splat.wast	simd	wast-json
issue11748.wast	runtime-regression	wast-json
issue12318.wast	runtime-regression	wast-json
issue1809.wast	runtime-regression	wast-json
issue4840.wast	runtime-regression	wast-json
issue4857.wast	runtime-regression	wast-json
issue4890.wast	runtime-regression	wast-json
issue6562.wast	simd	wast-json
issue694.wast	runtime-regression	wast-json
linking-errors.wast	reference-types	wast-json
many-results.wast	multi-value	wast-json
many-return-values.wast	multi-value	wast-json
many_table_gets_lead_to_gc.wast	runtime-regression	wast-json
misc_traps.wast	runtime-regression	wast-json
mul16-negative.wast	sign-extension	wast-json
mutable_externref_globals.wast	reference-types	wast-json
no-mixup-stack-maps.wast	reference-types	wast-json
no-opt-panic-dividing-by-zero.wast	runtime-regression	wast-json
no-panic-on-invalid.wast	malformed-validation	direct-invalid
no-panic.wast	reference-types	wast-json
partial-init-memory-segment.wast	bulk-memory	wast-json
partial-init-table-segment.wast	bulk-memory	wast-json
pooling-drop-out-of-order.wast	concurrent-instance-lifecycle	direct-concurrency
pooling-oob-on-reuse.wast	memory-reuse-bounds	direct-concurrency
rs2wasm-add-func.wast	runtime-regression	wast-json
rust_fannkuch.wast	runtime-regression	wast-json
simd/almost-extmul.wast	simd	wast-json
simd/cvt-from-uint.wast	simd	wast-json
simd/edge-of-memory.wast	simd	wast-json
simd/interesting-float-splat.wast	simd	wast-json
simd/issue4807.wast	simd	wast-json
simd/issue6725-no-egraph-panic.wast	simd	wast-json
simd/issue_3173_select_v128.wast	simd	wast-json
simd/issue_3327_bnot_lowering.wast	simd	wast-json
simd/load_splat_out_of_bounds.wast	simd	wast-json
simd/replace-lane-preserve.wast	simd	wast-json
simd/riscv64-replicated-imm5-works.wast	simd	wast-json
simd/spillslot-size-fuzzbug.wast	bulk-memory,simd	wast-json
simd/sse-cannot-fold-unaligned-loads.wast	simd	wast-json
simd/unaligned-load.wast	simd	wast-json
simd/v128-equal.wast	simd	wast-json
simd/v128-select.wast	simd	wast-json
simple-unreachable.wast	runtime-regression	wast-json
simple_ref_is_null.wast	reference-types	wast-json
sink-float-but-dont-trap.wast	runtime-regression	wast-json
stack_overflow.wast	runtime-regression	wast-json
table_copy.wast	bulk-memory	wast-json
table_copy_on_imported_tables.wast	bulk-memory,reference-types	wast-json
table_grow_with_funcref.wast	reference-types	wast-json
winch/br_table.wast	runtime-regression	wast-json
winch/float-comparison.wast	runtime-regression	wast-json
winch/global.wast	runtime-regression	wast-json
winch/imported_globals_fuzzbug.wast	runtime-regression	wast-json
winch/issue-10331.wast	simd	wast-json
winch/issue-10357.wast	simd	wast-json
winch/issue-10460.wast	simd	wast-json
winch/issue-10613.wast	runtime-regression	wast-json
winch/issue-10751.wast	runtime-regression	wast-json
winch/issue-12423.wast	runtime-regression	wast-json
winch/issue-424666628.wast	nontrapping-float-to-int	wast-json
winch/memory_offsets.wast	runtime-regression	wast-json
winch/misc.wast	runtime-regression	wast-json
winch/oob.wast	runtime-regression	wast-json
winch/oob_extend.wast	runtime-regression	wast-json
winch/oob_table_grow.wast	reference-types	wast-json
winch/ref-types-basic.wast	reference-types	direct-go
winch/replace_lane.wast	simd	wast-json
winch/select.wast	runtime-regression	wast-json
winch/simd_multivalue.wast	multi-value,simd	wast-json
winch/table-init-fuzz-bug.wast	bulk-memory	wast-json
winch/table_fill.wast	reference-types	direct-go
winch/table_get.wast	reference-types	wast-json
winch/table_grow.wast	reference-types	wast-json
winch/table_set.wast	reference-types	wast-json
winch/use-innermost-frame.wast	runtime-regression	wast-json
winch/v128_load_lane_invalid_address.wast	simd	wast-json
